> print(null.model, pars = c("mu_b", "sigma_y", "a", "b"))
Inference for Stan model: twolevelrandomslope2.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

          mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
b[19]    -0.15    0.00  0.39  -0.92  -0.42  -0.16   0.10   0.64 24000    1
b[20]     0.04    0.00  0.65  -1.14  -0.38  -0.01   0.42   1.46 24000    1
b[21]    -1.32    0.01  0.45  -2.24  -1.63  -1.32  -1.01  -0.46  5607    1
b[22]    -0.83    0.00  0.40  -1.64  -1.09  -0.82  -0.56  -0.08 24000    1
b[23]    -0.25    0.00  0.50  -1.24  -0.58  -0.26   0.07   0.77 24000    1
b[24]    -0.17    0.00  0.35  -0.85  -0.40  -0.17   0.06   0.53 24000    1
b[25]     0.03    0.00  0.52  -0.94  -0.33   0.00   0.36   1.11 24000    1
b[26]    -0.26    0.00  0.50  -1.24  -0.58  -0.27   0.06   0.74 24000    1
b[27]    -0.50    0.00  0.51  -1.53  -0.83  -0.49  -0.17   0.48 24000    1
b[28]    -0.43    0.00  0.64  -1.74  -0.82  -0.41  -0.03   0.83 24000    1
b[29]    -0.14    0.00  0.70  -1.46  -0.58  -0.17   0.27   1.35 24000    1
b[30]     0.05    0.00  0.36  -0.63  -0.20   0.04   0.29   0.77 24000    1
b[31]     0.13    0.00  0.65  -1.01  -0.31   0.07   0.51   1.54 24000    1
