studyid,site,predictunits,predictvalue,genus,species,phenophase,pheno ,phenounits,phenovalue
EMW002,NA,year,2009,Barypeithes,pellucidus,startabundance,start,doy,156
EMW002,NA,year,2009,Barypeithes,pellucidus,startabundance,start,doy,156
EMW002,NA,year,2009,Barypeithes,pellucidus,startabundance,start,doy,156
EMW002,NA,year,2008,Sciaphilus,asperatus,startabundance,start,doy,148
EMW002,NA,year,2008,Sciaphilus,asperatus,startabundance,start,doy,148
EMW002,NA,year,2008,Sciaphilus,asperatus,startabundance,start,doy,148
EMW002,NA,year,2008,Polydrusus,sericeus,startabundance,start,doy,168
EMW002,NA,year,2008,Polydrusus,sericeus,startabundance,start,doy,168
EMW002,NA,year,2009,Polydrusus,sericeus,startabundance,start,doy,172
EMW002,NA,year,2009,Polydrusus,sericeus,startabundance,start,doy,172
EMW002,NA,year,2009,Polydrusus,sericeus,startabundance,start,doy,172
EMW002,NA,year,2009,Sciaphilus,asperatus,startobs,start,doy,149
EMW002,NA,year,2009,Sciaphilus,asperatus,startobs,start,doy,149
EMW002,NA,year,2009,Sciaphilus,asperatus,startobs,start,doy,149
EMW002,NA,year,2008,Phyllobius,oblongus,startobs,start,doy,148
EMW002,NA,year,2008,Phyllobius,oblongus,startobs,start,doy,148
EMW002,NA,year,2008,Phyllobius,oblongus,startobs,start,doy,148
EMW002,NA,year,2009,Phyllobius,oblongus,startobs,start,doy,149
EMW002,NA,year,2009,Phyllobius,oblongus,startobs,start,doy,149
EMW002,NA,year,2009,Phyllobius,oblongus,startobs,start,doy,149
HMK004,NA,year,1982,Quercus,spp,final bud flushing,end,doy,123.852
HMK004,NA,year,1983,Quercus,spp,final bud flushing,end,doy,110.857
HMK004,NA,year,1984,Quercus,spp,final bud flushing,end,doy,117.378
HMK004,NA,year,1985,Quercus,spp,final bud flushing,end,doy,128.834
HMK004,NA,year,1986,Quercus,spp,final bud flushing,end,doy,102.481
HMK004,NA,year,1987,Quercus,spp,final bud flushing,end,doy,131.608
HMK004,NA,year,1988,Quercus,spp,final bud flushing,end,doy,111.215
HMK004,NA,year,1982,Quercus,spp,initial bud flushing,start,doy,99.6054
HMK004,NA,year,1983,Quercus,spp,initial bud flushing,start,doy,92.7749
HMK004,NA,year,1984,Quercus,spp,initial bud flushing,start,doy,99.0908
HMK004,NA,year,1985,Quercus,spp,initial bud flushing,start,doy,107.67
HMK004,NA,year,1986,Quercus,spp,initial bud flushing,start,doy,92.4126
HMK004,NA,year,1987,Quercus,spp,initial bud flushing,start,doy,115.786
HMK004,NA,year,1988,Quercus,spp,initial bud flushing,start,doy,94.9811
HMK004,NA,year,1982,Tortrix,viridana,initial egg hatch,start,doy,102.261
HMK004,NA,year,1983,Tortrix,viridana,initial egg hatch,start,doy,96.6617
HMK004,NA,year,1984,Tortrix,viridana,initial egg hatch,start,doy,104.007
HMK004,NA,year,1985,Tortrix,viridana,initial egg hatch,start,doy,109.914
HMK004,NA,year,1986,Tortrix,viridana,initial egg hatch,start,doy,96.7122
HMK004,NA,year,1987,Tortrix,viridana,initial egg hatch,start,doy,114.949
HMK004,NA,year,1988,Tortrix,viridana,initial egg hatch,start,doy,100.514
HMK004,NA,year,1982,Tortrix,viridana,final egg hatch,end,doy,108.22
HMK004,NA,year,1983,Tortrix,viridana,final egg hatch,end,doy,104.266
HMK004,NA,year,1984,Tortrix,viridana,final egg hatch,end,doy,107.706
HMK004,NA,year,1985,Tortrix,viridana,final egg hatch,end,doy,118.957
HMK004,NA,year,1986,Tortrix,viridana,final egg hatch,end,doy,99.3834
HMK004,NA,year,1987,Tortrix,viridana,final egg hatch,end,doy,123.99
HMK004,NA,year,1988,Tortrix,viridana,final egg hatch,end,doy,105.652
HMK006,lansing,year,1996,Dendroctonus,valens,start of adult activity,start,doy,NA
HMK006,lansing,year,1997,Dendroctonus,valens,start of adult activity,start,doy,150
HMK006,lansing,year,1996,Dryocetes,autographus,start of adult activity,start,doy,140
HMK006,lansing,year,1997,Dryocetes,autographus,start of adult activity,start,doy,NA
HMK006,lansing,year,1996,Gnathotrichus,materiarius,start of adult activity,start,doy,127
HMK006,lansing,year,1997,Gnathotrichus,materiarius,start of adult activity,start,doy,NA
HMK006,lansing,year,1996,Hylastes,porculus,start of adult activity,start,doy,139
HMK006,lansing,year,1997,Hylastes,porculus,start of adult activity,start,doy,NA
HMK006,lansing,year,1996,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,NA
HMK006,lansing,year,1997,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,125
HMK006,lansing,year,1996,Ips,grandicollis,start of adult activity,start,doy,139
HMK006,lansing,year,1997,Ips,grandicollis,start of adult activity,start,doy,125
HMK006,lansing,year,1996,Ips,pini,start of adult activity,start,doy,138
HMK006,lansing,year,1997,Ips,pini,start of adult activity,start,doy,119
HMK006,lansing,year,1996,Monochamus,spp,start of adult activity,start,doy,NA
HMK006,lansing,year,1997,Monochamus,spp,start of adult activity,start,doy,NA
HMK006,lansing,year,1996,Orthotomicus,caelatus,start of adult activity,start,doy,139
HMK006,lansing,year,1997,Orthotomicus,caelatus,start of adult activity,start,doy,150
HMK006,lansing,year,1996,Pissodes,approximatus,start of adult activity,start,doy,NA
HMK006,lansing,year,1997,Pissodes,approximatus,start of adult activity,start,doy,92
HMK006,lansing,year,1996,Tomicus,piniperda,start of adult activity,start,doy,87
HMK006,lansing,year,1997,Tomicus,piniperda,start of adult activity,start,doy,80
HMK006,lansing,year,1996,Corticeus,parallelus,start of adult activity,start,doy,75
HMK006,lansing,year,1997,Corticeus,parallelus,start of adult activity,start,doy,105
HMK006,lansing,year,1996,Cucujus,clavipes,start of adult activity,start,doy,103
HMK006,lansing,year,1997,Cucujus,clavipes,start of adult activity,start,doy,164
HMK006,lansing,year,1996,Enoclerus,nigripes,start of adult activity,start,doy,NA
HMK006,lansing,year,1997,Enoclerus,nigripes,start of adult activity,start,doy,NA
HMK006,lansing,year,1996,Platysoma,cylindrica,start of adult activity,start,doy,139
HMK006,lansing,year,1997,Platysoma,cylindrica,start of adult activity,start,doy,150
HMK006,lansing,year,1996,Platysoma,parallelum,start of adult activity,start,doy,138
HMK006,lansing,year,1997,Platysoma,parallelum,start of adult activity,start,doy,164
HMK006,lansing,year,1996,Thanasimus,dubius,start of adult activity,start,doy,109
HMK006,lansing,year,1997,Thanasimus,dubius,start of adult activity,start,doy,150
HMK006,northern,year,1996,Dendroctonus,valens,start of adult activity,start,doy,141
HMK006,northern,year,1997,Dendroctonus,valens,start of adult activity,start,doy,154
HMK006,northern,year,1996,Dryocetes,autographus,start of adult activity,start,doy,NA
HMK006,northern,year,1997,Dryocetes,autographus,start of adult activity,start,doy,NA
HMK006,northern,year,1996,Gnathotrichus,materiarius,start of adult activity,start,doy,NA
HMK006,northern,year,1997,Gnathotrichus,materiarius,start of adult activity,start,doy,154
HMK006,northern,year,1996,Hylastes,porculus,start of adult activity,start,doy,198
HMK006,northern,year,1997,Hylastes,porculus,start of adult activity,start,doy,155
HMK006,northern,year,1996,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,141
HMK006,northern,year,1997,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,155
HMK006,northern,year,1996,Ips,grandicollis,start of adult activity,start,doy,152
HMK006,northern,year,1997,Ips,grandicollis,start of adult activity,start,doy,154
HMK006,northern,year,1996,Ips,pini,start of adult activity,start,doy,134
HMK006,northern,year,1997,Ips,pini,start of adult activity,start,doy,133
HMK006,northern,year,1996,Monochamus,spp,start of adult activity,start,doy,190
HMK006,northern,year,1997,Monochamus,spp,start of adult activity,start,doy,177
HMK006,northern,year,1996,Orthotomicus,caelatus,start of adult activity,start,doy,141
HMK006,northern,year,1997,Orthotomicus,caelatus,start of adult activity,start,doy,154
HMK006,northern,year,1996,Pissodes,approximatus,start of adult activity,start,doy,134
HMK006,northern,year,1997,Pissodes,approximatus,start of adult activity,start,doy,164
HMK006,northern,year,1996,Tomicus,piniperda,start of adult activity,start,doy,NA
HMK006,northern,year,1997,Tomicus,piniperda,start of adult activity,start,doy,NA
HMK006,northern,year,1996,Corticeus,parallelus,start of adult activity,start,doy,138
HMK006,northern,year,1997,Corticeus,parallelus,start of adult activity,start,doy,154
HMK006,northern,year,1996,Cucujus,clavipes,start of adult activity,start,doy,NA
HMK006,northern,year,1997,Cucujus,clavipes,start of adult activity,start,doy,168
HMK006,northern,year,1996,Enoclerus,nigripes,start of adult activity,start,doy,137
HMK006,northern,year,1997,Enoclerus,nigripes,start of adult activity,start,doy,155
HMK006,northern,year,1996,Platysoma,cylindrica,start of adult activity,start,doy,141
HMK006,northern,year,1997,Platysoma,cylindrica,start of adult activity,start,doy,154
HMK006,northern,year,1996,Platysoma,parallelum,start of adult activity,start,doy,141
HMK006,northern,year,1997,Platysoma,parallelum,start of adult activity,start,doy,154
HMK006,northern,year,1996,Thanasimus,dubius,start of adult activity,start,doy,137
HMK006,northern,year,1997,Thanasimus,dubius,start of adult activity,start,doy,133
HMK006,southwestern,year,1996,Dendroctonus,valens,start of adult activity,start,doy,138
HMK006,southwestern,year,1997,Dendroctonus,valens,start of adult activity,start,doy,149
HMK006,southwestern,year,1996,Dryocetes,autographus,start of adult activity,start,doy,NA
HMK006,southwestern,year,1997,Dryocetes,autographus,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Gnathotrichus,materiarius,start of adult activity,start,doy,137
HMK006,southwestern,year,1997,Gnathotrichus,materiarius,start of adult activity,start,doy,132
HMK006,southwestern,year,1996,Hylastes,porculus,start of adult activity,start,doy,141
HMK006,southwestern,year,1997,Hylastes,porculus,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,137
HMK006,southwestern,year,1997,Hylurgops,rugipennis pinnifex,start of adult activity,start,doy,127
HMK006,southwestern,year,1996,Ips,grandicollis,start of adult activity,start,doy,134
HMK006,southwestern,year,1997,Ips,grandicollis,start of adult activity,start,doy,149
HMK006,southwestern,year,1996,Ips,pini,start of adult activity,start,doy,134
HMK006,southwestern,year,1997,Ips,pini,start of adult activity,start,doy,127
HMK006,southwestern,year,1996,Monochamus,spp,start of adult activity,start,doy,183
HMK006,southwestern,year,1997,Monochamus,spp,start of adult activity,start,doy,176
HMK006,southwestern,year,1996,Orthotomicus,caelatus,start of adult activity,start,doy,138
HMK006,southwestern,year,1997,Orthotomicus,caelatus,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Pissodes,approximatus,start of adult activity,start,doy,103
HMK006,southwestern,year,1997,Pissodes,approximatus,start of adult activity,start,doy,94
HMK006,southwestern,year,1996,Tomicus,piniperda,start of adult activity,start,doy,90
HMK006,southwestern,year,1997,Tomicus,piniperda,start of adult activity,start,doy,81
HMK006,southwestern,year,1996,Corticeus,parallelus,start of adult activity,start,doy,103
HMK006,southwestern,year,1997,Corticeus,parallelus,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Cucujus,clavipes,start of adult activity,start,doy,103
HMK006,southwestern,year,1997,Cucujus,clavipes,start of adult activity,start,doy,88
HMK006,southwestern,year,1996,Enoclerus,nigripes,start of adult activity,start,doy,206
HMK006,southwestern,year,1997,Enoclerus,nigripes,start of adult activity,start,doy,294
HMK006,southwestern,year,1996,Platysoma,cylindrica,start of adult activity,start,doy,124
HMK006,southwestern,year,1997,Platysoma,cylindrica,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Platysoma,parallelum,start of adult activity,start,doy,124
HMK006,southwestern,year,1997,Platysoma,parallelum,start of adult activity,start,doy,156
HMK006,southwestern,year,1996,Thanasimus,dubius,start of adult activity,start,doy,176
HMK006,southwestern,year,1997,Thanasimus,dubius,start of adult activity,start,doy,127
HMK007,NA,year,1983,Saxifraga,reflexa,peak flowering,peak,doy,144
HMK007,NA,year,1983,Saxifraga,tricuspidata,peak flowering,peak,doy,159
HMK007,NA,year,1985,Saxifraga,reflexa,peak flowering,peak,doy,155
HMK007,NA,year,1985,Saxifraga,tricuspidata,peak flowering,peak,doy,169
HMK007,NA,year,1986,Saxifraga,reflexa,peak flowering,peak,doy,149
HMK007,NA,year,1986,Saxifraga,tricuspidata,peak flowering,peak,doy,159
HMK007,NA,year,1983,Saxifraga,reflexa,start of flowering,start,doy,133
HMK007,NA,year,1983,Saxifraga,tricuspidata,start of flowering,start,doy,151
HMK007,NA,year,1985,Saxifraga,reflexa,start of flowering,start,doy,144
HMK007,NA,year,1985,Saxifraga,tricuspidata,start of flowering,start,doy,154
HMK007,NA,year,1986,Saxifraga,reflexa,start of flowering,start,doy,142
HMK007,NA,year,1986,Saxifraga,tricuspidata,start of flowering,start,doy,153
HMK008,NA,year,1984,Selasphorus,platycercus,first arrival,start,doy,77.5384
HMK008,NA,year,1985,Selasphorus,platycercus,first arrival,start,doy,82.06802
HMK008,NA,year,1986,Selasphorus,platycercus,first arrival,start,doy,94.0669
HMK008,NA,year,1987,Selasphorus,platycercus,first arrival,start,doy,104.1018
HMK008,NA,year,1988,Selasphorus,platycercus,first arrival,start,doy,139.0111
HMK008,NA,year,1989,Selasphorus,platycercus,first arrival,start,doy,121.7085
HMK008,NA,year,1990,Selasphorus,platycercus,first arrival,start,doy,75.62156
HMK008,NA,year,1991,Selasphorus,platycercus,first arrival,start,doy,103.4451
HMK008,NA,year,1992,Selasphorus,platycercus,first arrival,start,doy,101.8329
HMK008,NA,year,1993,Selasphorus,platycercus,first arrival,start,doy,113.5057
HMK008,NA,year,1994,Selasphorus,platycercus,first arrival,start,doy,110.4106
HMK008,NA,year,1995,Selasphorus,platycercus,first arrival,start,doy,112.2242
HMK008,NA,year,1996,Selasphorus,platycercus,first arrival,start,doy,131.0961
HMK008,NA,year,1997,Selasphorus,platycercus,first arrival,start,doy,95.7339
HMK008,NA,year,1998,Selasphorus,platycercus,first arrival,start,doy,129.4315
HMK008,NA,year,1999,Selasphorus,platycercus,first arrival,start,doy,125.7193
HMK008,NA,year,2000,Selasphorus,platycercus,first arrival,start,doy,107.125
HMK008,NA,year,2001,Selasphorus,platycercus,first arrival,start,doy,62.4637
HMK008,NA,year,2003,Selasphorus,platycercus,first arrival,start,doy,122.0984
HMK008,NA,year,2006,Selasphorus,platycercus,first arrival,start,doy,136.6099
HMK008,NA,year,2007,Selasphorus,platycercus,first arrival,start,doy,93.8142
HMK008,NA,year,2008,Selasphorus,platycercus,first arrival,start,doy,113.8995
HMK008,NA,year,2009,Selasphorus,platycercus,first arrival,start,doy,84.46734
HMK008,NA,year,2010,Selasphorus,platycercus,first arrival,start,doy,104.6873
HMK008,NA,year,1975,Selasphorus,platycercus,first arrival,start,doy,135.0237
HMK008,NA,year,1976,Selasphorus,platycercus,first arrival,start,doy,138.4943
HMK008,NA,year,1978,Selasphorus,platycercus,first arrival,start,doy,133.9942
HMK008,NA,year,1979,Selasphorus,platycercus,first arrival,start,doy,136.4563
HMK008,NA,year,1980,Selasphorus,platycercus,first arrival,start,doy,138.321
HMK008,NA,year,1981,Selasphorus,platycercus,first arrival,start,doy,133.4288
HMK008,NA,year,1982,Selasphorus,platycercus,first arrival,start,doy,135.0248
HMK008,NA,year,1983,Selasphorus,platycercus,first arrival,start,doy,147.6623
HMK008,NA,year,1984,Selasphorus,platycercus,first arrival,start,doy,133.5947
HMK008,NA,year,1985,Selasphorus,platycercus,first arrival,start,doy,141.6883
HMK008,NA,year,1986,Selasphorus,platycercus,first arrival,start,doy,140.7407
HMK008,NA,year,1988,Selasphorus,platycercus,first arrival,start,doy,135.5615
HMK008,NA,year,1989,Selasphorus,platycercus,first arrival,start,doy,127.1896
HMK008,NA,year,1990,Selasphorus,platycercus,first arrival,start,doy,123.1631
HMK008,NA,year,1991,Selasphorus,platycercus,first arrival,start,doy,133.2575
HMK008,NA,year,1992,Selasphorus,platycercus,first arrival,start,doy,132.5773
HMK008,NA,year,1993,Selasphorus,platycercus,first arrival,start,doy,137.4566
HMK008,NA,year,1994,Selasphorus,platycercus,first arrival,start,doy,130.0839
HMK008,NA,year,1995,Selasphorus,platycercus,first arrival,start,doy,133.6174
HMK008,NA,year,1996,Selasphorus,platycercus,first arrival,start,doy,147.1273
HMK008,NA,year,1997,Selasphorus,platycercus,first arrival,start,doy,132.464
HMK008,NA,year,1998,Selasphorus,platycercus,first arrival,start,doy,138.7463
HMK008,NA,year,1999,Selasphorus,platycercus,first arrival,start,doy,142.5471
HMK008,NA,year,2000,Selasphorus,platycercus,first arrival,start,doy,125.4019
HMK008,NA,year,2001,Selasphorus,platycercus,first arrival,start,doy,128.0064
HMK008,NA,year,2002,Selasphorus,platycercus,first arrival,start,doy,125.7198
HMK008,NA,year,2003,Selasphorus,platycercus,first arrival,start,doy,130.4599
HMK008,NA,year,2004,Selasphorus,platycercus,first arrival,start,doy,124.6918
HMK008,NA,year,2005,Selasphorus,platycercus,first arrival,start,doy,129.1695
HMK008,NA,year,2006,Selasphorus,platycercus,first arrival,start,doy,137.0587
HMK008,NA,year,2007,Selasphorus,platycercus,first arrival,start,doy,129.7502
HMK008,NA,year,2008,Selasphorus,platycercus,first arrival,start,doy,131.3453
HMK008,NA,year,2009,Selasphorus,platycercus,first arrival,start,doy,129.9323
HMK008,NA,year,2010,Selasphorus,platycercus,first arrival,start,doy,134.7425
HMK008,NA,year,2011,Selasphorus,platycercus,first arrival,start,doy,140.2216
HMK008,NA,year,1984,Castilleja,tenuiflora,first flowering date,start,doy,105.7056
HMK008,NA,year,1985,Castilleja,tenuiflora,first flowering date,start,doy,124.386
HMK008,NA,year,1986,Castilleja,tenuiflora,first flowering date,start,doy,81.53372
HMK008,NA,year,1987,Castilleja,tenuiflora,first flowering date,start,doy,110.7054
HMK008,NA,year,1988,Castilleja,tenuiflora,first flowering date,start,doy,109.9014
HMK008,NA,year,1989,Castilleja,tenuiflora,first flowering date,start,doy,125.3521
HMK008,NA,year,1991,Castilleja,tenuiflora,first flowering date,start,doy,110.7233
HMK008,NA,year,1992,Castilleja,tenuiflora,first flowering date,start,doy,116.1188
HMK008,NA,year,1993,Castilleja,tenuiflora,first flowering date,start,doy,117.1447
HMK008,NA,year,1994,Castilleja,tenuiflora,first flowering date,start,doy,87.76914
HMK008,NA,year,1995,Castilleja,tenuiflora,first flowering date,start,doy,97.9382
HMK008,NA,year,1997,Castilleja,tenuiflora,first flowering date,start,doy,130.9093
HMK008,NA,year,1999,Castilleja,tenuiflora,first flowering date,start,doy,143.1043
HMK008,NA,year,2001,Castilleja,tenuiflora,first flowering date,start,doy,124.7273
HMK008,NA,year,2003,Castilleja,tenuiflora,first flowering date,start,doy,102.1519
HMK008,NA,year,2007,Castilleja,tenuiflora,first flowering date,start,doy,114.1644
HMK008,NA,year,2008,Castilleja,tenuiflora,first flowering date,start,doy,106.7565
HMK008,NA,year,2009,Castilleja,tenuiflora,first flowering date,start,doy,111.4213
HMK008,NA,year,2010,Castilleja,tenuiflora,first flowering date,start,doy,109.1358
HMK008,NA,year,1975,Erythronium,grandiflorum,first flowering date,start,doy,159.6556
HMK008,NA,year,1977,Erythronium,grandiflorum,first flowering date,start,doy,156.4232
HMK008,NA,year,1979,Erythronium,grandiflorum,first flowering date,start,doy,157.6076
HMK008,NA,year,1980,Erythronium,grandiflorum,first flowering date,start,doy,160.4089
HMK008,NA,year,1981,Erythronium,grandiflorum,first flowering date,start,doy,139.7202
HMK008,NA,year,1983,Erythronium,grandiflorum,first flowering date,start,doy,161.5833
HMK008,NA,year,1984,Erythronium,grandiflorum,first flowering date,start,doy,161.1712
HMK008,NA,year,1986,Erythronium,grandiflorum,first flowering date,start,doy,149.8429
HMK008,NA,year,1987,Erythronium,grandiflorum,first flowering date,start,doy,135.0378
HMK008,NA,year,1988,Erythronium,grandiflorum,first flowering date,start,doy,141.1858
HMK008,NA,year,1989,Erythronium,grandiflorum,first flowering date,start,doy,139.9067
HMK008,NA,year,1991,Erythronium,grandiflorum,first flowering date,start,doy,150.7944
HMK008,NA,year,1993,Erythronium,grandiflorum,first flowering date,start,doy,157.8061
HMK008,NA,year,1995,Erythronium,grandiflorum,first flowering date,start,doy,169.6281
HMK008,NA,year,1996,Erythronium,grandiflorum,first flowering date,start,doy,145.7895
HMK008,NA,year,1997,Erythronium,grandiflorum,first flowering date,start,doy,151.3391
HMK008,NA,year,1998,Erythronium,grandiflorum,first flowering date,start,doy,141.8244
HMK008,NA,year,1999,Erythronium,grandiflorum,first flowering date,start,doy,149.7765
