studyid,site,predictunits,predictvalue,genus,species,genus_2nd,spp_2nd,phenophase,pheno ,phenounits,phenovalue,phenovarunit
EMW002,NA,year,2009,Acer,saccharum,NA,NA,stage5leafunfolded,end,doy,132.953,NA
EMW002,NA,year,2009,Acer,saccharum,NA,NA,stage5leafunfolded,end,doy,139.966,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,startabundance,start,doy,161,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,peakabundance,peak,doy,168,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,startabundance,start,doy,168,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,peakabundance,peak,doy,177,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,endabundance,end,doy,183,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,endabundance,end,doy,183,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,Rubus,spp.,noabundance,start,doy,NA,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,startabundance,start,doy,156,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,startabundance,start,doy,156,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,startabundance,start,doy,156,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,peakabundance,peak,doy,184,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,endabundance,end,doy,194,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,endabundance,end,doy,194,NA
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,endabundance,end,doy,194,NA
EMW002,NA,year,2008,Ostrya,virginiana,NA,NA,stage2budscaleseparate,start,doy,127.987,NA
EMW002,NA,year,2008,Ostrya,virginiana,NA,NA,stage4leaffolded,NA,doy,134.662,NA
EMW002,NA,year,2008,Ostrya,virginiana,NA,NA,stage4leaffolded,NA,doy,141.365,NA
EMW002,NA,year,2008,Ostrya,virginiana,NA,NA,stage5leafunfolded,end,doy,147.987,NA
EMW002,NA,year,2009,Ostrya,virginiana,NA,NA,stage2budscaleseparate,start,doy,125.99,NA
EMW002,NA,year,2009,Ostrya,virginiana,NA,NA,stage4leaffolded,NA,doy,133.001,NA
EMW002,NA,year,2009,Ostrya,virginiana,NA,NA,stage5leafunfolded,end,doy,139.982,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,startobs,start,doy,148,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,startobs,start,doy,148,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,startobs,start,doy,148,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,peakabundance,peak,doy,155,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,peakabundance,peak,doy,168,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,peakabundance,peak,doy,168,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,endobs,end,doy,190,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,endobs,end,doy,190,NA
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,endobs,end,doy,190,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,startobs,start,doy,149,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,startobs,start,doy,149,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,startobs,start,doy,149,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,endabundance,end,doy,194,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,endobs,end,doy,194,NA
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,endobs,end,doy,194,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,startabundance,start,doy,168,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,startabundance,start,doy,168,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,peakabundance,peak,doy,177,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,peakabundance,peak,doy,177,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,endobs,end,doy,190,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,endobs,end,doy,190,NA
EMW002,NA,year,2008,Polydrusus,sericeus,Acer,saccharum,noabundance,start,doy,NA,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,startabundance,start,doy,172,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,startabundance,start,doy,172,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,startabundance,start,doy,172,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,peakabundance,peak,doy,184,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,peakabundance,peak,doy,184,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,peakabundance,peak,doy,184,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,endobs,end,doy,194,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,endobs,end,doy,194,NA
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,endobs,end,doy,194,NA
EMW002,NA,year,2008,Rubus,spp.,NA,NA,stage3leafvisible,NA,doy,127.982,NA
EMW002,NA,year,2008,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,134.661,NA
EMW002,NA,year,2008,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,141.376,NA
EMW002,NA,year,2008,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,147.972,NA
EMW002,NA,year,2009,Rubus,spp.,NA,NA,stage3leafvisible,NA,doy,126.01,NA
EMW002,NA,year,2009,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,133.008,NA
EMW002,NA,year,2009,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,139.961,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,startabundance,start,doy,148,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,startabundance,start,doy,148,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,startabundance,start,doy,148,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,peakabundance,peak,doy,161,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,peakabundance,peak,doy,177,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,peakabundance,peak,doy,177,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,endobs,end,doy,190,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,endobs,end,doy,190,NA
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,endobs,end,doy,190,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,startobs,start,doy,149,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,startobs,start,doy,149,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,startobs,start,doy,149,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,peakabundance,peak,doy,162,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,peakabundance,peak,doy,184,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,endobs,end,doy,194,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,endobs,end,doy,194,NA
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,endobs,end,doy,194,NA
HMK004,NA,year,1982,Quercus,spp,NA,NA,initial bud flushing,start,doy,99.6054,NA
HMK004,NA,year,1982,Quercus,spp,NA,NA,final bud flushing,end,doy,123.852,NA
HMK004,NA,year,1983,Quercus,spp,NA,NA,initial bud flushing,start,doy,92.7749,NA
HMK004,NA,year,1983,Quercus,spp,NA,NA,final bud flushing,end,doy,110.857,NA
HMK004,NA,year,1984,Quercus,spp,NA,NA,initial bud flushing,start,doy,100.0908,NA
HMK004,NA,year,1984,Quercus,spp,NA,NA,final bud flushing,end,doy,118.378,NA
HMK004,NA,year,1985,Quercus,spp,NA,NA,initial bud flushing,start,doy,107.67,NA
HMK004,NA,year,1985,Quercus,spp,NA,NA,final bud flushing,end,doy,128.834,NA
HMK004,NA,year,1986,Quercus,spp,NA,NA,initial bud flushing,start,doy,92.4126,NA
HMK004,NA,year,1986,Quercus,spp,NA,NA,final bud flushing,end,doy,102.481,NA
HMK004,NA,year,1987,Quercus,spp,NA,NA,initial bud flushing,start,doy,115.786,NA
HMK004,NA,year,1987,Quercus,spp,NA,NA,final bud flushing,end,doy,131.608,NA
HMK004,NA,year,1988,Quercus,spp,NA,NA,initial bud flushing,start,doy,95.9811,NA
HMK004,NA,year,1988,Quercus,spp,NA,NA,final bud flushing,end,doy,112.215,NA
HMK004,NA,year,1982,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,102.261,NA
HMK004,NA,year,1982,Tortrix,viridana,NA,NA,final egg hatch,end,doy,108.22,NA
HMK004,NA,year,1983,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,96.6617,NA
HMK004,NA,year,1983,Tortrix,viridana,NA,NA,final egg hatch,end,doy,104.266,NA
HMK004,NA,year,1984,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,105.007,NA
HMK004,NA,year,1984,Tortrix,viridana,NA,NA,final egg hatch,end,doy,108.706,NA
HMK004,NA,year,1985,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,109.914,NA
HMK004,NA,year,1985,Tortrix,viridana,NA,NA,final egg hatch,end,doy,118.957,NA
HMK004,NA,year,1986,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,96.7122,NA
HMK004,NA,year,1986,Tortrix,viridana,NA,NA,final egg hatch,end,doy,99.3834,NA
HMK004,NA,year,1987,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,114.949,NA
HMK004,NA,year,1987,Tortrix,viridana,NA,NA,final egg hatch,end,doy,123.99,NA
HMK004,NA,year,1988,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,101.514,NA
HMK004,NA,year,1988,Tortrix,viridana,NA,NA,final egg hatch,end,doy,106.652,NA
HMK006,lansing,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,75,NA
HMK006,southwestern,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,103,NA
HMK006,northern,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,138,NA
HMK006,lansing,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,105,NA
HMK006,northern,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,154,NA
HMK006,southwestern,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,156,NA
HMK006,lansing,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,103,NA
HMK006,southwestern,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,103,NA
HMK006,northern,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,88,NA
HMK006,lansing,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,164,NA
HMK006,northern,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,168,NA
HMK006,southwestern,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,138,NA
HMK006,northern,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,141,NA
HMK006,lansing,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,149,NA
HMK006,lansing,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,150,NA
HMK006,northern,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,154,NA
HMK006,lansing,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,140,NA
HMK006,northern,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,156,NA
HMK006,lansing,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,northern,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,northern,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,137,NA
HMK006,southwestern,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,206,NA
HMK006,lansing,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,northern,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,155,NA
HMK006,southwestern,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,294,NA
HMK006,lansing,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,lansing,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,127,NA
HMK006,southwestern,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,137,NA
HMK006,northern,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,132,NA
HMK006,northern,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,154,NA
HMK006,lansing,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,lansing,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,139,NA
HMK006,southwestern,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,141,NA
HMK006,northern,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,198,NA
HMK006,northern,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,155,NA
HMK006,southwestern,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,156,NA
HMK006,lansing,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,137,NA
HMK006,northern,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,141,NA
HMK006,lansing,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,lansing,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,125,NA
HMK006,southwestern,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,127,NA
HMK006,northern,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,155,NA
HMK006,northern,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,134,NA
HMK006,southwestern,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,134,NA
HMK006,southwestern,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,134,NA
HMK006,lansing,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,138,NA
HMK006,lansing,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,139,NA
HMK006,northern,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,152,NA
HMK006,lansing,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,119,NA
HMK006,lansing,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,125,NA
HMK006,southwestern,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,127,NA
HMK006,northern,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,133,NA
HMK006,southwestern,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,149,NA
HMK006,northern,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,154,NA
HMK006,southwestern,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,183,NA
HMK006,northern,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,190,NA
HMK006,lansing,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,176,NA
HMK006,northern,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,177,NA
HMK006,lansing,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,southwestern,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,138,NA
HMK006,lansing,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,139,NA
HMK006,northern,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,141,NA
HMK006,lansing,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,150,NA
HMK006,northern,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,154,NA
HMK006,southwestern,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,156,NA
HMK006,southwestern,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,103,NA
HMK006,northern,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,134,NA
HMK006,lansing,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,lansing,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,92,NA
HMK006,southwestern,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,94,NA
HMK006,northern,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,164,NA
HMK006,southwestern,year,1996,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,124,NA
HMK006,southwestern,year,1996,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,124,NA
HMK006,lansing,year,1996,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,138,NA
HMK006,lansing,year,1996,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,139,NA
HMK006,northern,year,1996,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,141,NA
HMK006,northern,year,1996,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,141,NA
HMK006,lansing,year,1997,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,150,NA
HMK006,northern,year,1997,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,154,NA
HMK006,northern,year,1997,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,154,NA
HMK006,southwestern,year,1997,Platysoma,cylindrica,NA,NA,start of adult activity,start,doy,156,NA
HMK006,southwestern,year,1997,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,156,NA
HMK006,lansing,year,1997,Platysoma,parallelum,NA,NA,start of adult activity,start,doy,164,NA
HMK006,lansing,year,1996,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,109,NA
HMK006,northern,year,1996,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,137,NA
HMK006,southwestern,year,1996,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,176,NA
HMK006,southwestern,year,1997,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,127,NA
HMK006,northern,year,1997,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,133,NA
HMK006,lansing,year,1997,Thanasimus,dubius,NA,NA,start of adult activity,start,doy,150,NA
HMK006,lansing,year,1996,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,87,NA
HMK006,southwestern,year,1996,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,90,NA
HMK006,northern,year,1996,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,NA,NA
HMK006,lansing,year,1997,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,80,NA
HMK006,southwestern,year,1997,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,81,NA
HMK006,northern,year,1997,Tomicus,piniperda,NA,NA,start of adult activity,start,doy,NA,NA
HMK007,NA,year,1983,Saxifraga,reflexa,NA,NA,start of flowering,start,doy,133,NA
HMK007,NA,year,1983,Saxifraga,reflexa,NA,NA,peak flowering,peak,doy,144,NA
HMK007,NA,year,1983,Saxifraga,tricuspidata,NA,NA,start of flowering,start,doy,151,NA
HMK007,NA,year,1983,Saxifraga,tricuspidata,NA,NA,peak flowering,peak,doy,159,NA
HMK007,NA,year,1985,Saxifraga,reflexa,NA,NA,start of flowering,start,doy,144,NA
HMK007,NA,year,1985,Saxifraga,tricuspidata,NA,NA,start of flowering,start,doy,154,NA
HMK007,NA,year,1985,Saxifraga,reflexa,NA,NA,peak flowering,peak,doy,155,NA
HMK007,NA,year,1985,Saxifraga,tricuspidata,NA,NA,peak flowering,peak,doy,169,NA
HMK007,NA,year,1986,Saxifraga,reflexa,NA,NA,start of flowering,start,doy,142,NA
HMK007,NA,year,1986,Saxifraga,reflexa,NA,NA,peak flowering,peak,doy,149,NA
HMK007,NA,year,1986,Saxifraga,tricuspidata,NA,NA,start of flowering,start,doy,153,NA
HMK007,NA,year,1986,Saxifraga,tricuspidata,NA,NA,peak flowering,peak,doy,159,NA
HMK008,NA,year,1984,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,105.7056,NA
HMK008,NA,year,1985,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,124.386,NA
HMK008,NA,year,1986,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,81.53372,NA
HMK008,NA,year,1987,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,110.7054,NA
HMK008,NA,year,1988,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,109.9014,NA
HMK008,NA,year,1989,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,125.3521,NA
HMK008,NA,year,1991,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,110.7233,NA
HMK008,NA,year,1992,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,116.1188,NA
HMK008,NA,year,1993,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,117.1447,NA
HMK008,NA,year,1994,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,87.76914,NA
HMK008,NA,year,1995,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,97.9382,NA
HMK008,NA,year,1997,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,130.9093,NA
HMK008,NA,year,1999,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,143.1043,NA
HMK008,NA,year,2001,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,124.7273,NA
HMK008,NA,year,2003,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,102.1519,NA
HMK008,NA,year,2007,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,114.1644,NA
HMK008,NA,year,2008,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,106.7565,NA
HMK008,NA,year,2009,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,111.4213,NA
HMK008,NA,year,2010,Castilleja,tenuiflora,NA,NA,first flowering date,start,doy,109.1358,NA
HMK008,NA,year,1975,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,170.8556,NA
HMK008,NA,year,1977,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,156.4171,NA
HMK008,NA,year,1979,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,163.5027,NA
HMK008,NA,year,1980,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,166.0428,NA
HMK008,NA,year,1981,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,151.8075,NA
HMK008,NA,year,1982,Delphinium,nuttallianum,NA,NA,first flowering date,start,doy,159.2941,NA
