"","studyid","species","year","phenovalue","slope","intid","int_type","spp"
"38","HMK006","Dryocetes autographus",1996,140,16.0000000000025,102,"competition","spp1"
"39","HMK006","Dryocetes autographus",1997,156,16.0000000000025,102,"competition","spp1"
"40","HMK006","Dryocetes autographus",1996,140,16.0000000000025,103,"competition","spp1"
"41","HMK006","Dryocetes autographus",1997,156,16.0000000000025,103,"competition","spp1"
"42","HMK006","Dryocetes autographus",1996,140,16.0000000000025,104,"competition","spp1"
"43","HMK006","Dryocetes autographus",1997,156,16.0000000000025,104,"competition","spp1"
"44","HMK006","Dryocetes autographus",1996,140,16.0000000000025,105,"competition","spp1"
"45","HMK006","Dryocetes autographus",1997,156,16.0000000000025,105,"competition","spp1"
"46","HMK006","Dryocetes autographus",1996,140,16.0000000000025,106,"competition","spp1"
"47","HMK006","Dryocetes autographus",1997,156,16.0000000000025,106,"competition","spp1"
"48","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,34,"predation","spp1"
"49","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,34,"predation","spp1"
"50","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,39,"predation","spp1"
"51","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,39,"predation","spp1"
"52","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,35,"predation","spp1"
"53","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,35,"predation","spp1"
"54","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,37,"predation","spp1"
"55","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,37,"predation","spp1"
"56","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,38,"predation","spp1"
"57","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,38,"predation","spp1"
"58","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,109,"competition","spp1"
"59","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,109,"competition","spp1"
"60","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,110,"competition","spp1"
"61","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,110,"competition","spp1"
"62","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,111,"competition","spp1"
"63","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,111,"competition","spp1"
"64","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,112,"competition","spp1"
"65","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,112,"competition","spp1"
"66","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,113,"competition","spp1"
"67","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,113,"competition","spp1"
"68","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,114,"competition","spp1"
"69","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,114,"competition","spp1"
"70","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,36,"predation","spp1"
"71","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,36,"predation","spp1"
"72","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,108,"competition","spp1"
"73","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,108,"competition","spp1"
"74","HMK006","Gnathotrichus materiarius",1996,132,11.0000000000017,107,"competition","spp1"
"75","HMK006","Gnathotrichus materiarius",1997,143,11.0000000000017,107,"competition","spp1"
"76","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,22,"predation","spp1"
"77","HMK006","Dendroctonus valens",1997,150,10.5000000000016,22,"predation","spp1"
"78","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,24,"predation","spp1"
"79","HMK006","Dendroctonus valens",1997,150,10.5000000000016,24,"predation","spp1"
"80","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,25,"predation","spp1"
"81","HMK006","Dendroctonus valens",1997,150,10.5000000000016,25,"predation","spp1"
"82","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,26,"predation","spp1"
"83","HMK006","Dendroctonus valens",1997,150,10.5000000000016,26,"predation","spp1"
"84","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,23,"predation","spp1"
"85","HMK006","Dendroctonus valens",1997,150,10.5000000000016,23,"predation","spp1"
"86","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,88,"competition","spp1"
"87","HMK006","Dendroctonus valens",1997,150,10.5000000000016,88,"competition","spp1"
"88","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,94,"competition","spp1"
"89","HMK006","Dendroctonus valens",1997,150,10.5000000000016,94,"competition","spp1"
"90","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,95,"competition","spp1"
"91","HMK006","Dendroctonus valens",1997,150,10.5000000000016,95,"competition","spp1"
"92","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,96,"competition","spp1"
"93","HMK006","Dendroctonus valens",1997,150,10.5000000000016,96,"competition","spp1"
"94","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,97,"competition","spp1"
"95","HMK006","Dendroctonus valens",1997,150,10.5000000000016,97,"competition","spp1"
"96","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,27,"predation","spp1"
"97","HMK006","Dendroctonus valens",1997,150,10.5000000000016,27,"predation","spp1"
"98","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,89,"competition","spp1"
"99","HMK006","Dendroctonus valens",1997,150,10.5000000000016,89,"competition","spp1"
"100","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,90,"competition","spp1"
"101","HMK006","Dendroctonus valens",1997,150,10.5000000000016,90,"competition","spp1"
"102","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,91,"competition","spp1"
"103","HMK006","Dendroctonus valens",1997,150,10.5000000000016,91,"competition","spp1"
"104","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,92,"competition","spp1"
"105","HMK006","Dendroctonus valens",1997,150,10.5000000000016,92,"competition","spp1"
"106","HMK006","Dendroctonus valens",1996,139.5,10.5000000000016,93,"competition","spp1"
"107","HMK006","Dendroctonus valens",1997,150,10.5000000000016,93,"competition","spp1"
"108","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,48,"predation","spp1"
"109","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,48,"predation","spp1"
"110","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,47,"predation","spp1"
"111","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,47,"predation","spp1"
"112","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,46,"predation","spp1"
"113","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,46,"predation","spp1"
"114","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,49,"predation","spp1"
"115","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,49,"predation","spp1"
"116","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,50,"predation","spp1"
"117","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,50,"predation","spp1"
"118","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,51,"predation","spp1"
"119","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,51,"predation","spp1"
"120","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,126,"competition","spp1"
"121","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,126,"competition","spp1"
"122","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,127,"competition","spp1"
"123","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,127,"competition","spp1"
"124","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,122,"competition","spp1"
"125","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,122,"competition","spp1"
"126","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,123,"competition","spp1"
"127","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,123,"competition","spp1"
"128","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,124,"competition","spp1"
"129","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,124,"competition","spp1"
"130","HMK006","Hylurgops rugipennis pinifex",1996,139,-12.0000000000018,125,"competition","spp1"
"131","HMK006","Hylurgops rugipennis pinifex",1997,127,-12.0000000000018,125,"competition","spp1"
"132","HMK006","Hylastes porculus",1996,141,14.5000000000022,40,"predation","spp1"
"133","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,40,"predation","spp1"
"134","HMK006","Hylastes porculus",1996,141,14.5000000000022,41,"predation","spp1"
"135","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,41,"predation","spp1"
"136","HMK006","Hylastes porculus",1996,141,14.5000000000022,42,"predation","spp1"
"137","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,42,"predation","spp1"
"138","HMK006","Hylastes porculus",1996,141,14.5000000000022,43,"predation","spp1"
"139","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,43,"predation","spp1"
"140","HMK006","Hylastes porculus",1996,141,14.5000000000022,44,"predation","spp1"
"141","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,44,"predation","spp1"
"142","HMK006","Hylastes porculus",1996,141,14.5000000000022,119,"competition","spp1"
"143","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,119,"competition","spp1"
"144","HMK006","Hylastes porculus",1996,141,14.5000000000022,120,"competition","spp1"
"145","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,120,"competition","spp1"
"146","HMK006","Hylastes porculus",1996,141,14.5000000000022,45,"predation","spp1"
"147","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,45,"predation","spp1"
"148","HMK006","Hylastes porculus",1996,141,14.5000000000022,118,"competition","spp1"
"149","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,118,"competition","spp1"
"150","HMK006","Hylastes porculus",1996,141,14.5000000000022,115,"competition","spp1"
"151","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,115,"competition","spp1"
"152","HMK006","Hylastes porculus",1996,141,14.5000000000022,117,"competition","spp1"
"153","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,117,"competition","spp1"
"154","HMK006","Hylastes porculus",1996,141,14.5000000000022,121,"competition","spp1"
"155","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,121,"competition","spp1"
"156","HMK006","Hylastes porculus",1996,141,14.5000000000022,116,"competition","spp1"
"157","HMK006","Hylastes porculus",1997,155.5,14.5000000000022,116,"competition","spp1"
"158","HMK006","Ips grandicollis",1996,139,10.0000000000016,56,"predation","spp1"
"159","HMK006","Ips grandicollis",1997,149,10.0000000000016,56,"predation","spp1"
"160","HMK006","Ips grandicollis",1996,139,10.0000000000016,57,"predation","spp1"
"161","HMK006","Ips grandicollis",1997,149,10.0000000000016,57,"predation","spp1"
"162","HMK006","Ips grandicollis",1996,139,10.0000000000016,55,"predation","spp1"
"163","HMK006","Ips grandicollis",1997,149,10.0000000000016,55,"predation","spp1"
"164","HMK006","Ips grandicollis",1996,139,10.0000000000016,54,"predation","spp1"
"165","HMK006","Ips grandicollis",1997,149,10.0000000000016,54,"predation","spp1"
"166","HMK006","Ips grandicollis",1996,139,10.0000000000016,52,"predation","spp1"
"167","HMK006","Ips grandicollis",1997,149,10.0000000000016,52,"predation","spp1"
"168","HMK006","Ips grandicollis",1996,139,10.0000000000016,53,"predation","spp1"
"169","HMK006","Ips grandicollis",1997,149,10.0000000000016,53,"predation","spp1"
"170","HMK006","Ips grandicollis",1996,139,10.0000000000016,128,"competition","spp1"
"171","HMK006","Ips grandicollis",1997,149,10.0000000000016,128,"competition","spp1"
"172","HMK006","Ips grandicollis",1996,139,10.0000000000016,130,"competition","spp1"
"173","HMK006","Ips grandicollis",1997,149,10.0000000000016,130,"competition","spp1"
"174","HMK006","Ips grandicollis",1996,139,10.0000000000016,132,"competition","spp1"
"175","HMK006","Ips grandicollis",1997,149,10.0000000000016,132,"competition","spp1"
"176","HMK006","Ips grandicollis",1996,139,10.0000000000016,131,"competition","spp1"
"177","HMK006","Ips grandicollis",1997,149,10.0000000000016,131,"competition","spp1"
"178","HMK006","Ips grandicollis",1996,139,10.0000000000016,129,"competition","spp1"
"179","HMK006","Ips grandicollis",1997,149,10.0000000000016,129,"competition","spp1"
"180","HMK006","Ips pini",1996,134,-7.00000000000105,58,"predation","spp1"
"181","HMK006","Ips pini",1997,127,-7.00000000000105,58,"predation","spp1"
"182","HMK006","Ips pini",1996,134,-7.00000000000105,60,"predation","spp1"
"183","HMK006","Ips pini",1997,127,-7.00000000000105,60,"predation","spp1"
"184","HMK006","Ips pini",1996,134,-7.00000000000105,61,"predation","spp1"
"185","HMK006","Ips pini",1997,127,-7.00000000000105,61,"predation","spp1"
"186","HMK006","Ips pini",1996,134,-7.00000000000105,62,"predation","spp1"
"187","HMK006","Ips pini",1997,127,-7.00000000000105,62,"predation","spp1"
"188","HMK006","Ips pini",1996,134,-7.00000000000105,59,"predation","spp1"
"189","HMK006","Ips pini",1997,127,-7.00000000000105,59,"predation","spp1"
"190","HMK006","Ips pini",1996,134,-7.00000000000105,63,"predation","spp1"
"191","HMK006","Ips pini",1997,127,-7.00000000000105,63,"predation","spp1"
"192","HMK006","Ips pini",1996,134,-7.00000000000105,134,"competition","spp1"
"193","HMK006","Ips pini",1997,127,-7.00000000000105,134,"competition","spp1"
"194","HMK006","Ips pini",1996,134,-7.00000000000105,135,"competition","spp1"
"195","HMK006","Ips pini",1997,127,-7.00000000000105,135,"competition","spp1"
"196","HMK006","Ips pini",1996,134,-7.00000000000105,136,"competition","spp1"
"197","HMK006","Ips pini",1997,127,-7.00000000000105,136,"competition","spp1"
"198","HMK006","Ips pini",1996,134,-7.00000000000105,133,"competition","spp1"
"199","HMK006","Ips pini",1997,127,-7.00000000000105,133,"competition","spp1"
"200","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,69,"predation","spp1"
"201","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,69,"predation","spp1"
"202","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,64,"predation","spp1"
"203","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,64,"predation","spp1"
"204","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,65,"predation","spp1"
"205","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,65,"predation","spp1"
"206","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,66,"predation","spp1"
"207","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,66,"predation","spp1"
"208","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,68,"predation","spp1"
"209","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,68,"predation","spp1"
"210","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,137,"competition","spp1"
"211","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,137,"competition","spp1"
"212","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,138,"competition","spp1"
"213","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,138,"competition","spp1"
"214","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,139,"competition","spp1"
"215","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,139,"competition","spp1"
"216","HMK006","Monochamus spp.",1996,186.5,-10.0000000000015,67,"predation","spp1"
"217","HMK006","Monochamus spp.",1997,176.5,-10.0000000000015,67,"predation","spp1"
"218","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,70,"predation","spp1"
"219","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,70,"predation","spp1"
"220","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,71,"predation","spp1"
"221","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,71,"predation","spp1"
"222","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,73,"predation","spp1"
"223","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,73,"predation","spp1"
"224","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,74,"predation","spp1"
"225","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,74,"predation","spp1"
"226","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,72,"predation","spp1"
"227","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,72,"predation","spp1"
"228","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,75,"predation","spp1"
"229","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,75,"predation","spp1"
"230","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,140,"competition","spp1"
"231","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,140,"competition","spp1"
"232","HMK006","Orthotomicus caelatus",1996,139,15.0000000000023,141,"competition","spp1"
"233","HMK006","Orthotomicus caelatus",1997,154,15.0000000000023,141,"competition","spp1"
"234","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,79,"predation","spp1"
"235","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,79,"predation","spp1"
"236","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,80,"predation","spp1"
"237","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,80,"predation","spp1"
"238","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,77,"predation","spp1"
"239","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,77,"predation","spp1"
"240","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,78,"predation","spp1"
"241","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,78,"predation","spp1"
"242","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,81,"predation","spp1"
"243","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,81,"predation","spp1"
"244","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,142,"competition","spp1"
"245","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,142,"competition","spp1"
"246","HMK006","Pissodes approximatus",1996,118.5,-24.5000000000038,76,"predation","spp1"
"247","HMK006","Pissodes approximatus",1997,94,-24.5000000000038,76,"predation","spp1"
"248","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,86,"predation","spp1"
"249","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,86,"predation","spp1"
"250","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,87,"predation","spp1"
"251","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,87,"predation","spp1"
"252","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,82,"predation","spp1"
"253","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,82,"predation","spp1"
"254","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,83,"predation","spp1"
"255","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,83,"predation","spp1"
"256","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,84,"predation","spp1"
"257","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,84,"predation","spp1"
"258","HMK006","Tomicus piniperda",1996,88.5,-8.00000000000123,85,"predation","spp1"
"259","HMK006","Tomicus piniperda",1997,80.5,-8.00000000000123,85,"predation","spp1"
"260","HMK007","Saxifraga reflexa",1983,133,3.35714285714359,143,"competition","spp1"
"261","HMK007","Saxifraga reflexa",1985,144,3.35714285714359,143,"competition","spp1"
"262","HMK007","Saxifraga reflexa",1986,142,3.35714285714359,143,"competition","spp1"
"263","HMK008","Delphinium nuttallianum",1975,170.8556,-0.529816795007202,145,"poll","spp1"
"264","HMK008","Delphinium nuttallianum",1977,156.4171,-0.529816795007202,145,"poll","spp1"
"265","HMK008","Delphinium nuttallianum",1979,163.5027,-0.529816795007202,145,"poll","spp1"
"266","HMK008","Delphinium nuttallianum",1980,166.0428,-0.529816795007202,145,"poll","spp1"
"267","HMK008","Delphinium nuttallianum",1981,151.8075,-0.529816795007202,145,"poll","spp1"
"268","HMK008","Delphinium nuttallianum",1982,159.2941,-0.529816795007202,145,"poll","spp1"
"269","HMK008","Delphinium nuttallianum",1983,170.9893,-0.529816795007202,145,"poll","spp1"
"270","HMK008","Delphinium nuttallianum",1984,169.385,-0.529816795007202,145,"poll","spp1"
"271","HMK008","Delphinium nuttallianum",1985,155.8182,-0.529816795007202,145,"poll","spp1"
"272","HMK008","Delphinium nuttallianum",1986,151.8075,-0.529816795007202,145,"poll","spp1"
"273","HMK008","Delphinium nuttallianum",1987,152.8075,-0.529816795007202,145,"poll","spp1"
"274","HMK008","Delphinium nuttallianum",1988,151.738,-0.529816795007202,145,"poll","spp1"
"275","HMK008","Delphinium nuttallianum",1989,148.4652,-0.529816795007202,145,"poll","spp1"
"276","HMK008","Delphinium nuttallianum",1991,160.8289,-0.529816795007202,145,"poll","spp1"
"277","HMK008","Delphinium nuttallianum",1993,169.5882,-0.529816795007202,145,"poll","spp1"
"278","HMK008","Delphinium nuttallianum",1995,177.0053,-0.529816795007202,145,"poll","spp1"
"279","HMK008","Delphinium nuttallianum",1996,155.8824,-0.529816795007202,145,"poll","spp1"
"280","HMK008","Delphinium nuttallianum",1997,153.6791,-0.529816795007202,145,"poll","spp1"
"281","HMK008","Delphinium nuttallianum",1998,146.3262,-0.529816795007202,145,"poll","spp1"
"282","HMK008","Delphinium nuttallianum",1999,160.0267,-0.529816795007202,145,"poll","spp1"
"283","HMK008","Delphinium nuttallianum",2000,150,-0.529816795007202,145,"poll","spp1"
"284","HMK008","Delphinium nuttallianum",2001,152.3422,-0.529816795007202,145,"poll","spp1"
"285","HMK008","Delphinium nuttallianum",2002,137.5027,-0.529816795007202,145,"poll","spp1"
"286","HMK008","Delphinium nuttallianum",2003,150,-0.529816795007202,145,"poll","spp1"
"287","HMK008","Delphinium nuttallianum",2004,136.9679,-0.529816795007202,145,"poll","spp1"
"288","HMK008","Delphinium nuttallianum",2005,149.8021,-0.529816795007202,145,"poll","spp1"
"289","HMK008","Delphinium nuttallianum",2006,141.5134,-0.529816795007202,145,"poll","spp1"
"290","HMK008","Delphinium nuttallianum",2007,138.5027,-0.529816795007202,145,"poll","spp1"
"291","HMK008","Delphinium nuttallianum",2008,163.9037,-0.529816795007202,145,"poll","spp1"
"292","HMK008","Delphinium nuttallianum",2009,147.3957,-0.529816795007202,145,"poll","spp1"
"293","HMK008","Delphinium nuttallianum",2010,150.4706,-0.529816795007202,145,"poll","spp1"
"294","HMK008","Erythronium grandiflorum",1975,159.6556,-0.446005253684566,146,"poll","spp1"
"295","HMK008","Erythronium grandiflorum",1977,156.4232,-0.446005253684566,146,"poll","spp1"
"296","HMK008","Erythronium grandiflorum",1979,157.6076,-0.446005253684566,146,"poll","spp1"
"297","HMK008","Erythronium grandiflorum",1980,160.4089,-0.446005253684566,146,"poll","spp1"
"298","HMK008","Erythronium grandiflorum",1981,139.7202,-0.446005253684566,146,"poll","spp1"
"299","HMK008","Erythronium grandiflorum",1983,161.5833,-0.446005253684566,146,"poll","spp1"
"300","HMK008","Erythronium grandiflorum",1984,161.1712,-0.446005253684566,146,"poll","spp1"
"301","HMK008","Erythronium grandiflorum",1986,149.8429,-0.446005253684566,146,"poll","spp1"
"302","HMK008","Erythronium grandiflorum",1987,135.0378,-0.446005253684566,146,"poll","spp1"
"303","HMK008","Erythronium grandiflorum",1988,141.1858,-0.446005253684566,146,"poll","spp1"
"304","HMK008","Erythronium grandiflorum",1989,139.9067,-0.446005253684566,146,"poll","spp1"
"305","HMK008","Erythronium grandiflorum",1991,150.7944,-0.446005253684566,146,"poll","spp1"
"306","HMK008","Erythronium grandiflorum",1993,157.8061,-0.446005253684566,146,"poll","spp1"
"307","HMK008","Erythronium grandiflorum",1995,169.6281,-0.446005253684566,146,"poll","spp1"
"308","HMK008","Erythronium grandiflorum",1996,145.7895,-0.446005253684566,146,"poll","spp1"
"309","HMK008","Erythronium grandiflorum",1997,151.3391,-0.446005253684566,146,"poll","spp1"
"310","HMK008","Erythronium grandiflorum",1998,141.8244,-0.446005253684566,146,"poll","spp1"
"311","HMK008","Erythronium grandiflorum",1999,149.7765,-0.446005253684566,146,"poll","spp1"
"312","HMK008","Erythronium grandiflorum",2000,141.3323,-0.446005253684566,146,"poll","spp1"
"313","HMK008","Erythronium grandiflorum",2001,139.786,-0.446005253684566,146,"poll","spp1"
"314","HMK008","Erythronium grandiflorum",2002,124.6497,-0.446005253684566,146,"poll","spp1"
"315","HMK008","Erythronium grandiflorum",2003,143.712,-0.446005253684566,146,"poll","spp1"
