"","studyid","envfactor","envunits","species","year","envtype","envchange"
"202","HMK018","temperature","C","all",2000,"air",0.0172158820998516
"203","HMK018","temperature","C","all",2001,"air",0.0172158820998516
"204","HMK018","temperature","C","all",2002,"air",0.0172158820998516
"205","HMK018","temperature","C","all",2003,"air",0.0172158820998516
"206","HMK018","temperature","C","all",2004,"air",0.0172158820998516
"207","HMK018","temperature","C","all",2005,"air",0.0172158820998516
"208","HMK018","temperature","C","all",2006,"air",0.0172158820998516
"209","HMK018","temperature","C","all",2007,"air",0.0172158820998516
"210","HMK018","temperature","C","all",1944,"air",0.0172158820998516
"211","HMK018","temperature","C","all",1945,"air",0.0172158820998516
"212","HMK018","temperature","C","all",1946,"air",0.0172158820998516
"213","HMK018","temperature","C","all",1947,"air",0.0172158820998516
"214","HMK018","temperature","C","all",1948,"air",0.0172158820998516
"215","HMK018","temperature","C","all",1949,"air",0.0172158820998516
"216","HMK018","temperature","C","all",1950,"air",0.0172158820998516
"217","HMK018","temperature","C","all",1951,"air",0.0172158820998516
"218","HMK018","temperature","C","all",1952,"air",0.0172158820998516
"219","HMK018","temperature","C","all",1953,"air",0.0172158820998516
"220","HMK018","temperature","C","all",1954,"air",0.0172158820998516
"221","HMK018","temperature","C","all",1955,"air",0.0172158820998516
"222","HMK018","temperature","C","all",1956,"air",0.0172158820998516
"223","HMK018","temperature","C","all",1957,"air",0.0172158820998516
"224","HMK018","temperature","C","all",1958,"air",0.0172158820998516
"225","HMK018","temperature","C","all",1959,"air",0.0172158820998516
"226","HMK018","temperature","C","all",1960,"air",0.0172158820998516
"227","HMK018","temperature","C","all",1961,"air",0.0172158820998516
"228","HMK018","temperature","C","all",1962,"air",0.0172158820998516
"229","HMK018","temperature","C","all",1963,"air",0.0172158820998516
"230","HMK018","temperature","C","all",1964,"air",0.0172158820998516
"231","HMK018","temperature","C","all",1965,"air",0.0172158820998516
"232","HMK018","temperature","C","all",1966,"air",0.0172158820998516
"233","HMK018","temperature","C","all",1967,"air",0.0172158820998516
"234","HMK018","temperature","C","all",1968,"air",0.0172158820998516
"235","HMK018","temperature","C","all",1969,"air",0.0172158820998516
"236","HMK018","temperature","C","all",1970,"air",0.0172158820998516
"237","HMK018","temperature","C","all",1971,"air",0.0172158820998516
"238","HMK018","temperature","C","all",1972,"air",0.0172158820998516
"239","HMK018","temperature","C","all",1973,"air",0.0172158820998516
"240","HMK018","temperature","C","all",1974,"air",0.0172158820998516
"241","HMK018","temperature","C","all",1975,"air",0.0172158820998516
"242","HMK018","temperature","C","all",1976,"air",0.0172158820998516
"243","HMK018","temperature","C","all",1977,"air",0.0172158820998516
"244","HMK018","temperature","C","all",1978,"air",0.0172158820998516
"245","HMK018","temperature","C","all",1979,"air",0.0172158820998516
"246","HMK018","temperature","C","all",1980,"air",0.0172158820998516
"247","HMK018","temperature","C","all",1981,"air",0.0172158820998516
"248","HMK018","temperature","C","all",1982,"air",0.0172158820998516
"249","HMK018","temperature","C","all",1983,"air",0.0172158820998516
"250","HMK018","temperature","C","all",1984,"air",0.0172158820998516
"251","HMK018","temperature","C","all",1985,"air",0.0172158820998516
"252","HMK018","temperature","C","all",1986,"air",0.0172158820998516
"253","HMK018","temperature","C","all",1987,"air",0.0172158820998516
"254","HMK018","temperature","C","all",1988,"air",0.0172158820998516
"255","HMK018","temperature","C","all",1989,"air",0.0172158820998516
"256","HMK018","temperature","C","all",1990,"air",0.0172158820998516
"257","HMK018","temperature","C","all",1991,"air",0.0172158820998516
"258","HMK018","temperature","C","all",1992,"air",0.0172158820998516
"259","HMK018","temperature","C","all",1993,"air",0.0172158820998516
"260","HMK018","temperature","C","all",1994,"air",0.0172158820998516
"261","HMK018","temperature","C","all",1995,"air",0.0172158820998516
"262","HMK018","temperature","C","all",1996,"air",0.0172158820998516
"263","HMK018","temperature","C","all",1997,"air",0.0172158820998516
"264","HMK018","temperature","C","all",1998,"air",0.0172158820998516
"265","HMK018","temperature","C","all",1999,"air",0.0172158820998516
"266","HMK018","temperature","C","all",2000,"air",0.0172158820998516
"267","HMK018","temperature","C","all",2001,"air",0.0172158820998516
"268","HMK018","temperature","C","all",2002,"air",0.0172158820998516
"269","HMK018","temperature","C","all",2003,"air",0.0172158820998516
"270","HMK018","temperature","C","all",2004,"air",0.0172158820998516
"271","HMK018","temperature","C","all",2005,"air",0.0172158820998516
"272","HMK018","temperature","C","all",2006,"air",0.0172158820998516
"273","HMK018","temperature","C","all",2007,"air",0.0172158820998516
"274","HMK019","temperature","C","Phytoplankton1 spp.",1969,"water",0.0394542953533508
"275","HMK019","temperature","C","Phytoplankton1 spp.",1970,"water",0.0394542953533508
"276","HMK019","temperature","C","Phytoplankton1 spp.",1971,"water",0.0394542953533508
"277","HMK019","temperature","C","Phytoplankton1 spp.",1972,"water",0.0394542953533508
"278","HMK019","temperature","C","Phytoplankton1 spp.",1973,"water",0.0394542953533508
"279","HMK019","temperature","C","Phytoplankton1 spp.",1974,"water",0.0394542953533508
"280","HMK019","temperature","C","Phytoplankton1 spp.",1975,"water",0.0394542953533508
"281","HMK019","temperature","C","Phytoplankton1 spp.",1976,"water",0.0394542953533508
"282","HMK019","temperature","C","Phytoplankton1 spp.",1977,"water",0.0394542953533508
"283","HMK019","temperature","C","Phytoplankton1 spp.",1978,"water",0.0394542953533508
"284","HMK019","temperature","C","Phytoplankton1 spp.",1979,"water",0.0394542953533508
"285","HMK019","temperature","C","Phytoplankton1 spp.",1980,"water",0.0394542953533508
"286","HMK019","temperature","C","Phytoplankton1 spp.",1981,"water",0.0394542953533508
"287","HMK019","temperature","C","Phytoplankton1 spp.",1982,"water",0.0394542953533508
"288","HMK019","temperature","C","Phytoplankton1 spp.",1983,"water",0.0394542953533508
"289","HMK019","temperature","C","Phytoplankton1 spp.",1984,"water",0.0394542953533508
"290","HMK019","temperature","C","Phytoplankton1 spp.",1985,"water",0.0394542953533508
"291","HMK019","temperature","C","Phytoplankton1 spp.",1986,"water",0.0394542953533508
"292","HMK019","temperature","C","Phytoplankton1 spp.",1987,"water",0.0394542953533508
"293","HMK019","temperature","C","Phytoplankton1 spp.",1988,"water",0.0394542953533508
"294","HMK019","temperature","C","Phytoplankton1 spp.",1989,"water",0.0394542953533508
"295","HMK019","temperature","C","Phytoplankton1 spp.",1990,"water",0.0394542953533508
"296","HMK019","temperature","C","Phytoplankton1 spp.",1991,"water",0.0394542953533508
"297","HMK019","temperature","C","Phytoplankton1 spp.",1992,"water",0.0394542953533508
"298","HMK019","temperature","C","Phytoplankton1 spp.",1993,"water",0.0394542953533508
"299","HMK019","temperature","C","Phytoplankton1 spp.",1994,"water",0.0394542953533508
"300","HMK019","temperature","C","Phytoplankton1 spp.",1995,"water",0.0394542953533508
"301","HMK019","temperature","C","Phytoplankton1 spp.",1996,"water",0.0394542953533508
"302","HMK019","temperature","C","Phytoplankton1 spp.",1997,"water",0.0394542953533508
"303","HMK019","temperature","C","Phytoplankton1 spp.",1998,"water",0.0394542953533508
"304","HMK019","temperature","C","Phytoplankton1 spp.",1999,"water",0.0394542953533508
"305","HMK019","temperature","C","Phytoplankton1 spp.",2000,"water",0.0394542953533508
"306","HMK019","temperature","C","Phytoplankton1 spp.",2001,"water",0.0394542953533508
"307","HMK019","temperature","C","Phytoplankton1 spp.",2002,"water",0.0394542953533508
"308","HMK019","temperature","C","Phytoplankton1 spp.",2003,"water",0.0394542953533508
"309","HMK019","temperature","C","Phytoplankton1 spp.",2004,"water",0.0394542953533508
"310","HMK019","temperature","C","Phytoplankton1 spp.",2005,"water",0.0394542953533508
"311","HMK019","temperature","C","Phytoplankton1 spp.",2006,"water",0.0394542953533508
"312","HMK019","temperature","C","Phytoplankton1 spp.",2007,"water",0.0394542953533508
"313","HMK019","temperature","C","Phytoplankton1 spp.",2008,"water",0.0394542953533508
"314","HMK019","temperature","C","Phytoplankton1 spp.",1969,"water",0.0394542953533508
"315","HMK019","temperature","C","Phytoplankton1 spp.",1970,"water",0.0394542953533508
"316","HMK019","temperature","C","Phytoplankton1 spp.",1971,"water",0.0394542953533508
"317","HMK019","temperature","C","Phytoplankton1 spp.",1972,"water",0.0394542953533508
"318","HMK019","temperature","C","Phytoplankton1 spp.",1973,"water",0.0394542953533508
"319","HMK019","temperature","C","Phytoplankton1 spp.",1974,"water",0.0394542953533508
"320","HMK019","temperature","C","Phytoplankton1 spp.",1975,"water",0.0394542953533508
"321","HMK019","temperature","C","Phytoplankton1 spp.",1976,"water",0.0394542953533508
"322","HMK019","temperature","C","Phytoplankton1 spp.",1977,"water",0.0394542953533508
"323","HMK019","temperature","C","Phytoplankton1 spp.",1978,"water",0.0394542953533508
"324","HMK019","temperature","C","Phytoplankton1 spp.",1980,"water",0.0394542953533508
"325","HMK019","temperature","C","Phytoplankton1 spp.",1981,"water",0.0394542953533508
"326","HMK019","temperature","C","Phytoplankton1 spp.",1982,"water",0.0394542953533508
"327","HMK019","temperature","C","Phytoplankton1 spp.",1983,"water",0.0394542953533508
"328","HMK019","temperature","C","Phytoplankton1 spp.",1984,"water",0.0394542953533508
"329","HMK019","temperature","C","Phytoplankton1 spp.",1985,"water",0.0394542953533508
"330","HMK019","temperature","C","Phytoplankton1 spp.",1986,"water",0.0394542953533508
"331","HMK019","temperature","C","Phytoplankton1 spp.",1987,"water",0.0394542953533508
"332","HMK019","temperature","C","Phytoplankton1 spp.",1988,"water",0.0394542953533508
"333","HMK019","temperature","C","Phytoplankton1 spp.",1989,"water",0.0394542953533508
"334","HMK019","temperature","C","Phytoplankton1 spp.",1990,"water",0.0394542953533508
"335","HMK019","temperature","C","Phytoplankton1 spp.",1991,"water",0.0394542953533508
"336","HMK019","temperature","C","Phytoplankton1 spp.",1992,"water",0.0394542953533508
"337","HMK019","temperature","C","Phytoplankton1 spp.",1993,"water",0.0394542953533508
"338","HMK019","temperature","C","Phytoplankton1 spp.",1994,"water",0.0394542953533508
"339","HMK019","temperature","C","Phytoplankton1 spp.",1995,"water",0.0394542953533508
"340","HMK019","temperature","C","Phytoplankton1 spp.",1996,"water",0.0394542953533508
"341","HMK019","temperature","C","Phytoplankton1 spp.",1997,"water",0.0394542953533508
"342","HMK019","temperature","C","Phytoplankton1 spp.",1998,"water",0.0394542953533508
"343","HMK019","temperature","C","Phytoplankton1 spp.",1999,"water",0.0394542953533508
"344","HMK019","temperature","C","Phytoplankton1 spp.",2000,"water",0.0394542953533508
"345","HMK019","temperature","C","Phytoplankton1 spp.",2001,"water",0.0394542953533508
"346","HMK019","temperature","C","Phytoplankton1 spp.",2002,"water",0.0394542953533508
"347","HMK019","temperature","C","Phytoplankton1 spp.",2003,"water",0.0394542953533508
"348","HMK019","temperature","C","Phytoplankton1 spp.",2004,"water",0.0394542953533508
"349","HMK019","temperature","C","Phytoplankton1 spp.",2005,"water",0.0394542953533508
"350","HMK019","temperature","C","Phytoplankton1 spp.",2006,"water",0.0394542953533508
"351","HMK019","temperature","C","Phytoplankton1 spp.",2007,"water",0.0394542953533508
"352","HMK019","temperature","C","Phytoplankton1 spp.",2008,"water",0.0394542953533508
"353","HMK019","temperature","C","Phytoplankton1 spp.",1969,"water",0.0394542953533508
"354","HMK019","temperature","C","Perca fluviatillis",1970,"water",0.0427817865853658
"355","HMK019","temperature","C","Perca fluviatillis",1971,"water",0.0427817865853658
"356","HMK019","temperature","C","Perca fluviatillis",1972,"water",0.0427817865853658
"357","HMK019","temperature","C","Perca fluviatillis",1973,"water",0.0427817865853658
"358","HMK019","temperature","C","Perca fluviatillis",1974,"water",0.0427817865853658
"359","HMK019","temperature","C","Perca fluviatillis",1975,"water",0.0427817865853658
"360","HMK019","temperature","C","Perca fluviatillis",1976,"water",0.0427817865853658
"361","HMK019","temperature","C","Perca fluviatillis",1977,"water",0.0427817865853658
"362","HMK019","temperature","C","Perca fluviatillis",1978,"water",0.0427817865853658
"363","HMK019","temperature","C","Perca fluviatillis",1979,"water",0.0427817865853658
"364","HMK019","temperature","C","Perca fluviatillis",1980,"water",0.0427817865853658
"365","HMK019","temperature","C","Perca fluviatillis",1981,"water",0.0427817865853658
"366","HMK019","temperature","C","Perca fluviatillis",1982,"water",0.0427817865853658
"367","HMK019","temperature","C","Perca fluviatillis",1983,"water",0.0427817865853658
"368","HMK019","temperature","C","Perca fluviatillis",1984,"water",0.0427817865853658
"369","HMK019","temperature","C","Perca fluviatillis",1985,"water",0.0427817865853658
"370","HMK019","temperature","C","Perca fluviatillis",1986,"water",0.0427817865853658
"371","HMK019","temperature","C","Perca fluviatillis",1987,"water",0.0427817865853658
"372","HMK019","temperature","C","Perca fluviatillis",1988,"water",0.0427817865853658
"373","HMK019","temperature","C","Perca fluviatillis",1989,"water",0.0427817865853658
"374","HMK019","temperature","C","Perca fluviatillis",1990,"water",0.0427817865853658
"375","HMK019","temperature","C","Perca fluviatillis",1991,"water",0.0427817865853658
"376","HMK019","temperature","C","Perca fluviatillis",1992,"water",0.0427817865853658
"377","HMK019","temperature","C","Perca fluviatillis",1993,"water",0.0427817865853658
"378","HMK019","temperature","C","Perca fluviatillis",1994,"water",0.0427817865853658
"379","HMK019","temperature","C","Perca fluviatillis",1995,"water",0.0427817865853658
"380","HMK019","temperature","C","Perca fluviatillis",1996,"water",0.0427817865853658
"381","HMK019","temperature","C","Perca fluviatillis",1997,"water",0.0427817865853658
"382","HMK019","temperature","C","Perca fluviatillis",1998,"water",0.0427817865853658
"383","HMK019","temperature","C","Perca fluviatillis",1999,"water",0.0427817865853658
"384","HMK019","temperature","C","Perca fluviatillis",2000,"water",0.0427817865853658
"385","HMK019","temperature","C","Perca fluviatillis",2001,"water",0.0427817865853658
"386","HMK019","temperature","C","Perca fluviatillis",2002,"water",0.0427817865853658
"387","HMK019","temperature","C","Perca fluviatillis",2003,"water",0.0427817865853658
"388","HMK019","temperature","C","Perca fluviatillis",2004,"water",0.0427817865853658
