"","X","studyid","intid","year","spp1","spp2","interaction","neg_phenovalue","neg_slope","pos_phenovalue","pos_slope","phenodiff","phenofreq","intxn"
"445",445,"HMK019",170,1979,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",108.8071,-0.512477668855536,141.25,-0.696012315376935,-32.4429,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"446",446,"HMK019",170,1980,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",94.99155,-0.512477668855536,125.4055,-0.696012315376935,-30.41395,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"447",447,"HMK019",170,1981,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",98.415,-0.512477668855536,132.068,-0.696012315376935,-33.653,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"448",448,"HMK019",170,1982,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",102.1298,-0.512477668855536,123.4645,-0.696012315376935,-21.3347,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"449",449,"HMK019",170,1983,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",100.1954,-0.512477668855536,149.2905,-0.696012315376935,-49.0951,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"450",450,"HMK019",170,1984,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",104.29995,-0.512477668855536,121.607,-0.696012315376935,-17.30705,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"451",451,"HMK019",170,1985,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",101.50345,-0.512477668855536,NA,NA,NA,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"452",452,"HMK019",170,1986,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",79.49615,-0.512477668855536,143.5115,-0.696012315376935,-64.01535,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"453",453,"HMK019",170,1987,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",100.87045,-0.512477668855536,129.6225,-0.696012315376935,-28.75205,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"454",454,"HMK019",170,1988,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",94.3999,-0.512477668855536,129.632,-0.696012315376935,-35.2321,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"455",455,"HMK019",170,1989,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",102.39595,-0.512477668855536,155.9275,-0.696012315376935,-53.53155,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"456",456,"HMK019",170,1990,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",76.9364,-0.512477668855536,123.2625,-0.696012315376935,-46.3261,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"457",457,"HMK019",170,1991,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",73.9246,-0.512477668855536,126.391,-0.696012315376935,-52.4664,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"458",458,"HMK019",170,1992,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",93.1373,-0.512477668855536,121.4005,-0.696012315376935,-28.2632,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"459",459,"HMK019",170,1993,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",67.89555,-0.512477668855536,123.8035,-0.696012315376935,-55.90795,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"460",460,"HMK019",170,1994,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",84.0984,-0.512477668855536,125.1545,-0.696012315376935,-41.0561,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"461",461,"HMK019",170,1995,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",100.27695,-0.512477668855536,131.477,-0.696012315376935,-31.20005,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"462",462,"HMK019",170,1996,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",101.441,-0.512477668855536,139.5085,-0.696012315376935,-38.0675,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"463",463,"HMK019",170,1997,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",73.538,-0.512477668855536,110.5725,-0.696012315376935,-37.0345,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"464",464,"HMK019",170,1998,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",89.07065,-0.512477668855536,136.25,-0.696012315376935,-47.17935,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"465",465,"HMK019",170,1999,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",92.10455,-0.512477668855536,133.19,-0.696012315376935,-41.08545,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"466",466,"HMK019",170,2000,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",84.13685,-0.512477668855536,121.22,-0.696012315376935,-37.08315,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"467",467,"HMK019",170,2001,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",96.441,-0.512477668855536,132.4685,-0.696012315376935,-36.0275,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"468",468,"HMK019",170,2002,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",86.2943,-0.512477668855536,113.75,-0.696012315376935,-27.4557,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"469",469,"HMK019",170,2003,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",85.219,-0.512477668855536,100.91875,-0.696012315376935,-15.69975,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"470",470,"HMK019",170,2004,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",86.1,-0.512477668855536,NA,NA,NA,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"471",471,"HMK019",170,2005,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",83.508,-0.512477668855536,107.881,-0.696012315376935,-24.373,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"472",472,"HMK019",170,2006,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",83.95085,-0.512477668855536,123.75,-0.696012315376935,-39.79915,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"473",473,"HMK019",170,2007,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",89.35265,-0.512477668855536,NA,NA,NA,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"474",474,"HMK019",170,2008,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",83.10485,-0.512477668855536,119.17,-0.696012315376935,-36.06515,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"475",475,"HMK019",171,1969,"Daphnia3 spp.","Perca fluviatillis","predation",160.305,-0.696012315376935,146.943,-0.513398597613784,13.362,"daily","Daphnia3 spp. Perca fluviatillis predation"
"476",476,"HMK019",171,1970,"Daphnia3 spp.","Perca fluviatillis","predation",153.324,-0.696012315376935,142.4035,-0.513398597613784,10.9205,"daily","Daphnia3 spp. Perca fluviatillis predation"
"477",477,"HMK019",171,1971,"Daphnia3 spp.","Perca fluviatillis","predation",124.8365,-0.696012315376935,139.977,-0.513398597613784,-15.1405,"daily","Daphnia3 spp. Perca fluviatillis predation"
"478",478,"HMK019",171,1972,"Daphnia3 spp.","Perca fluviatillis","predation",140.054,-0.696012315376935,143.5655,-0.513398597613784,-3.51149999999998,"daily","Daphnia3 spp. Perca fluviatillis predation"
"479",479,"HMK019",171,1973,"Daphnia3 spp.","Perca fluviatillis","predation",137.4605,-0.696012315376935,142.2105,-0.513398597613784,-4.75000000000003,"daily","Daphnia3 spp. Perca fluviatillis predation"
"480",480,"HMK019",171,1974,"Daphnia3 spp.","Perca fluviatillis","predation",134.959,-0.696012315376935,138.198,-0.513398597613784,-3.239,"daily","Daphnia3 spp. Perca fluviatillis predation"
"481",481,"HMK019",171,1975,"Daphnia3 spp.","Perca fluviatillis","predation",131.047,-0.696012315376935,140.177,-0.513398597613784,-9.13000000000002,"daily","Daphnia3 spp. Perca fluviatillis predation"
"482",482,"HMK019",171,1976,"Daphnia3 spp.","Perca fluviatillis","predation",142.5315,-0.696012315376935,142.6785,-0.513398597613784,-0.146999999999991,"daily","Daphnia3 spp. Perca fluviatillis predation"
"483",483,"HMK019",171,1977,"Daphnia3 spp.","Perca fluviatillis","predation",134.2885,-0.696012315376935,148.327,-0.513398597613784,-14.0385,"daily","Daphnia3 spp. Perca fluviatillis predation"
"484",484,"HMK019",171,1978,"Daphnia3 spp.","Perca fluviatillis","predation",147.44,-0.696012315376935,145.719,-0.513398597613784,1.721,"daily","Daphnia3 spp. Perca fluviatillis predation"
"485",485,"HMK019",171,1979,"Daphnia3 spp.","Perca fluviatillis","predation",141.25,-0.696012315376935,143.0605,-0.513398597613784,-1.81049999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"486",486,"HMK019",171,1980,"Daphnia3 spp.","Perca fluviatillis","predation",125.4055,-0.696012315376935,132.825,-0.513398597613784,-7.41949999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"487",487,"HMK019",171,1981,"Daphnia3 spp.","Perca fluviatillis","predation",132.068,-0.696012315376935,141.7125,-0.513398597613784,-9.64449999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"488",488,"HMK019",171,1982,"Daphnia3 spp.","Perca fluviatillis","predation",123.4645,-0.696012315376935,131.427,-0.513398597613784,-7.96250000000002,"daily","Daphnia3 spp. Perca fluviatillis predation"
"489",489,"HMK019",171,1983,"Daphnia3 spp.","Perca fluviatillis","predation",149.2905,-0.696012315376935,137.11,-0.513398597613784,12.1805,"daily","Daphnia3 spp. Perca fluviatillis predation"
"490",490,"HMK019",171,1984,"Daphnia3 spp.","Perca fluviatillis","predation",121.607,-0.696012315376935,130.015,-0.513398597613784,-8.40799999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"491",491,"HMK019",171,1986,"Daphnia3 spp.","Perca fluviatillis","predation",143.5115,-0.696012315376935,139.4585,-0.513398597613784,4.053,"daily","Daphnia3 spp. Perca fluviatillis predation"
"492",492,"HMK019",171,1987,"Daphnia3 spp.","Perca fluviatillis","predation",129.6225,-0.696012315376935,129.187,-0.513398597613784,0.43549999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"493",493,"HMK019",171,1988,"Daphnia3 spp.","Perca fluviatillis","predation",129.632,-0.696012315376935,NA,NA,NA,"daily","Daphnia3 spp. Perca fluviatillis predation"
"494",494,"HMK019",171,1989,"Daphnia3 spp.","Perca fluviatillis","predation",155.9275,-0.696012315376935,133.715,-0.513398597613784,22.2125,"daily","Daphnia3 spp. Perca fluviatillis predation"
"495",495,"HMK019",171,1990,"Daphnia3 spp.","Perca fluviatillis","predation",123.2625,-0.696012315376935,129.6245,-0.513398597613784,-6.36200000000001,"daily","Daphnia3 spp. Perca fluviatillis predation"
"496",496,"HMK019",171,1991,"Daphnia3 spp.","Perca fluviatillis","predation",126.391,-0.696012315376935,134.485,-0.513398597613784,-8.09400000000002,"daily","Daphnia3 spp. Perca fluviatillis predation"
"497",497,"HMK019",171,1992,"Daphnia3 spp.","Perca fluviatillis","predation",121.4005,-0.696012315376935,131.457,-0.513398597613784,-10.0565,"daily","Daphnia3 spp. Perca fluviatillis predation"
"498",498,"HMK019",171,1993,"Daphnia3 spp.","Perca fluviatillis","predation",123.8035,-0.696012315376935,127.515,-0.513398597613784,-3.7115,"daily","Daphnia3 spp. Perca fluviatillis predation"
"499",499,"HMK019",171,1994,"Daphnia3 spp.","Perca fluviatillis","predation",125.1545,-0.696012315376935,129.112,-0.513398597613784,-3.9575,"daily","Daphnia3 spp. Perca fluviatillis predation"
"500",500,"HMK019",171,1995,"Daphnia3 spp.","Perca fluviatillis","predation",131.477,-0.696012315376935,128.683,-0.513398597613784,2.79400000000001,"daily","Daphnia3 spp. Perca fluviatillis predation"
"501",501,"HMK019",171,1996,"Daphnia3 spp.","Perca fluviatillis","predation",139.5085,-0.696012315376935,140.108,-0.513398597613784,-0.599500000000006,"daily","Daphnia3 spp. Perca fluviatillis predation"
"502",502,"HMK019",171,1997,"Daphnia3 spp.","Perca fluviatillis","predation",110.5725,-0.696012315376935,129.181,-0.513398597613784,-18.6085,"daily","Daphnia3 spp. Perca fluviatillis predation"
"503",503,"HMK019",171,1998,"Daphnia3 spp.","Perca fluviatillis","predation",136.25,-0.696012315376935,128.187,-0.513398597613784,8.06299999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"504",504,"HMK019",171,1999,"Daphnia3 spp.","Perca fluviatillis","predation",133.19,-0.696012315376935,125.8805,-0.513398597613784,7.3095,"daily","Daphnia3 spp. Perca fluviatillis predation"
"505",505,"HMK019",171,2000,"Daphnia3 spp.","Perca fluviatillis","predation",121.22,-0.696012315376935,126.424,-0.513398597613784,-5.20400000000001,"daily","Daphnia3 spp. Perca fluviatillis predation"
"506",506,"HMK019",171,2001,"Daphnia3 spp.","Perca fluviatillis","predation",132.4685,-0.696012315376935,135.3075,-0.513398597613784,-2.839,"daily","Daphnia3 spp. Perca fluviatillis predation"
"507",507,"HMK019",171,2002,"Daphnia3 spp.","Perca fluviatillis","predation",113.75,-0.696012315376935,124.3945,-0.513398597613784,-10.6445,"daily","Daphnia3 spp. Perca fluviatillis predation"
"508",508,"HMK019",171,2003,"Daphnia3 spp.","Perca fluviatillis","predation",100.91875,-0.696012315376935,130.897,-0.513398597613784,-29.97825,"daily","Daphnia3 spp. Perca fluviatillis predation"
"509",509,"HMK019",171,2005,"Daphnia3 spp.","Perca fluviatillis","predation",107.881,-0.696012315376935,126.7665,-0.513398597613784,-18.8855,"daily","Daphnia3 spp. Perca fluviatillis predation"
"510",510,"HMK019",171,2006,"Daphnia3 spp.","Perca fluviatillis","predation",123.75,-0.696012315376935,130.5205,-0.513398597613784,-6.7705,"daily","Daphnia3 spp. Perca fluviatillis predation"
"511",511,"HMK019",171,2008,"Daphnia3 spp.","Perca fluviatillis","predation",119.17,-0.696012315376935,126.487,-0.513398597613784,-7.31699999999999,"daily","Daphnia3 spp. Perca fluviatillis predation"
"536",536,"HMK027",177,1961,"Caterpillar spp.","Parus1 major","predation",105.172,-0.182992498750978,93.9847,-0.135115010845993,11.1873,"daily","Caterpillar spp. Parus1 major predation"
"537",537,"HMK027",177,1962,"Caterpillar spp.","Parus1 major","predation",123.017,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"538",538,"HMK027",177,1963,"Caterpillar spp.","Parus1 major","predation",121.983,-0.182992498750978,109.746,-0.135115010845993,12.237,"daily","Caterpillar spp. Parus1 major predation"
"539",539,"HMK027",177,1964,"Caterpillar spp.","Parus1 major","predation",121.983,-0.182992498750978,108.713,-0.135115010845993,13.27,"daily","Caterpillar spp. Parus1 major predation"
"540",540,"HMK027",177,1965,"Caterpillar spp.","Parus1 major","predation",128.707,-0.182992498750978,109.93,-0.135115010845993,18.777,"daily","Caterpillar spp. Parus1 major predation"
"541",541,"HMK027",177,1966,"Caterpillar spp.","Parus1 major","predation",119.138,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"542",542,"HMK027",177,1967,"Caterpillar spp.","Parus1 major","predation",119.655,-0.182992498750978,105.435,-0.135115010845993,14.22,"daily","Caterpillar spp. Parus1 major predation"
"543",543,"HMK027",177,1968,"Caterpillar spp.","Parus1 major","predation",118.621,-0.182992498750978,98.5127,-0.135115010845993,20.1083,"daily","Caterpillar spp. Parus1 major predation"
"544",544,"HMK027",177,1969,"Caterpillar spp.","Parus1 major","predation",124.828,-0.182992498750978,112.715,-0.135115010845993,12.113,"daily","Caterpillar spp. Parus1 major predation"
"545",545,"HMK027",177,1970,"Caterpillar spp.","Parus1 major","predation",125.086,-0.182992498750978,109.949,-0.135115010845993,15.137,"daily","Caterpillar spp. Parus1 major predation"
"546",546,"HMK027",177,1971,"Caterpillar spp.","Parus1 major","predation",119.655,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"547",547,"HMK027",177,1972,"Caterpillar spp.","Parus1 major","predation",117.845,-0.182992498750978,99.7395,-0.135115010845993,18.1055,"daily","Caterpillar spp. Parus1 major predation"
"548",548,"HMK027",177,1973,"Caterpillar spp.","Parus1 major","predation",120.69,-0.182992498750978,109.613,-0.135115010845993,11.077,"daily","Caterpillar spp. Parus1 major predation"
"549",549,"HMK027",177,1974,"Caterpillar spp.","Parus1 major","predation",102.328,-0.182992498750978,92.4743,-0.135115010845993,9.8537,"daily","Caterpillar spp. Parus1 major predation"
"550",550,"HMK027",177,1975,"Caterpillar spp.","Parus1 major","predation",123.793,-0.182992498750978,108.755,-0.135115010845993,15.038,"daily","Caterpillar spp. Parus1 major predation"
"551",551,"HMK027",177,1976,"Caterpillar spp.","Parus1 major","predation",122.5,-0.182992498750978,106.161,-0.135115010845993,16.339,"daily","Caterpillar spp. Parus1 major predation"
"552",552,"HMK027",177,1977,"Caterpillar spp.","Parus1 major","predation",119.655,-0.182992498750978,93.8708,-0.135115010845993,25.7842,"daily","Caterpillar spp. Parus1 major predation"
"553",553,"HMK027",177,1978,"Caterpillar spp.","Parus1 major","predation",126.897,-0.182992498750978,106.688,-0.135115010845993,20.209,"daily","Caterpillar spp. Parus1 major predation"
"554",554,"HMK027",177,1979,"Caterpillar spp.","Parus1 major","predation",124.569,-0.182992498750978,105.999,-0.135115010845993,18.57,"daily","Caterpillar spp. Parus1 major predation"
"555",555,"HMK027",177,1980,"Caterpillar spp.","Parus1 major","predation",132.845,-0.182992498750978,109.986,-0.135115010845993,22.859,"daily","Caterpillar spp. Parus1 major predation"
"556",556,"HMK027",177,1981,"Caterpillar spp.","Parus1 major","predation",117.845,-0.182992498750978,96.656,-0.135115010845993,21.189,"daily","Caterpillar spp. Parus1 major predation"
"557",557,"HMK027",177,1982,"Caterpillar spp.","Parus1 major","predation",124.828,-0.182992498750978,102.028,-0.135115010845993,22.8,"daily","Caterpillar spp. Parus1 major predation"
"558",558,"HMK027",177,1983,"Caterpillar spp.","Parus1 major","predation",118.103,-0.182992498750978,101.165,-0.135115010845993,16.938,"daily","Caterpillar spp. Parus1 major predation"
"559",559,"HMK027",177,1984,"Caterpillar spp.","Parus1 major","predation",122.759,-0.182992498750978,107.923,-0.135115010845993,14.836,"daily","Caterpillar spp. Parus1 major predation"
"560",560,"HMK027",177,1985,"Caterpillar spp.","Parus1 major","predation",124.052,-0.182992498750978,100.48,-0.135115010845993,23.572,"daily","Caterpillar spp. Parus1 major predation"
"561",561,"HMK027",177,1986,"Caterpillar spp.","Parus1 major","predation",120.431,-0.182992498750978,108.103,-0.135115010845993,12.328,"daily","Caterpillar spp. Parus1 major predation"
"562",562,"HMK027",177,1987,"Caterpillar spp.","Parus1 major","predation",120.69,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"563",563,"HMK027",177,1988,"Caterpillar spp.","Parus1 major","predation",118.621,-0.182992498750978,102.05,-0.135115010845993,16.571,"daily","Caterpillar spp. Parus1 major predation"
"564",564,"HMK027",177,1989,"Caterpillar spp.","Parus1 major","predation",107.5,-0.182992498750978,92.7025,-0.135115010845993,14.7975,"daily","Caterpillar spp. Parus1 major predation"
"565",565,"HMK027",177,1990,"Caterpillar spp.","Parus1 major","predation",108.276,-0.182992498750978,91.321,-0.135115010845993,16.955,"daily","Caterpillar spp. Parus1 major predation"
"566",566,"HMK027",177,1991,"Caterpillar spp.","Parus1 major","predation",118.362,-0.182992498750978,97.0387,-0.135115010845993,21.3233,"daily","Caterpillar spp. Parus1 major predation"
"567",567,"HMK027",177,1993,"Caterpillar spp.","Parus1 major","predation",119.138,-0.182992498750978,103.627,-0.135115010845993,15.511,"daily","Caterpillar spp. Parus1 major predation"
"568",568,"HMK027",177,1994,"Caterpillar spp.","Parus1 major","predation",111.897,-0.182992498750978,91.5091,-0.135115010845993,20.3879,"daily","Caterpillar spp. Parus1 major predation"
"569",569,"HMK027",177,1995,"Caterpillar spp.","Parus1 major","predation",118.621,-0.182992498750978,105.019,-0.135115010845993,13.602,"daily","Caterpillar spp. Parus1 major predation"
"570",570,"HMK027",177,1997,"Caterpillar spp.","Parus1 major","predation",123.017,-0.182992498750978,99.8313,-0.135115010845993,23.1857,"daily","Caterpillar spp. Parus1 major predation"
"571",571,"HMK027",177,1998,"Caterpillar spp.","Parus1 major","predation",115.776,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"572",572,"HMK027",177,1999,"Caterpillar spp.","Parus1 major","predation",109.31,-0.182992498750978,96.376,-0.135115010845993,12.934,"daily","Caterpillar spp. Parus1 major predation"
"573",573,"HMK027",177,2000,"Caterpillar spp.","Parus1 major","predation",114.741,-0.182992498750978,101.921,-0.135115010845993,12.82,"daily","Caterpillar spp. Parus1 major predation"
"574",574,"HMK027",177,2001,"Caterpillar spp.","Parus1 major","predation",114.224,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"575",575,"HMK027",177,2002,"Caterpillar spp.","Parus1 major","predation",106.983,-0.182992498750978,94.6556,-0.135115010845993,12.3274,"daily","Caterpillar spp. Parus1 major predation"
"576",576,"HMK027",177,2003,"Caterpillar spp.","Parus1 major","predation",116.293,-0.182992498750978,105.049,-0.135115010845993,11.244,"daily","Caterpillar spp. Parus1 major predation"
"577",577,"HMK027",177,2004,"Caterpillar spp.","Parus1 major","predation",115.5175,-0.182992498750978,98.4726,-0.135115010845993,17.0449,"daily","Caterpillar spp. Parus1 major predation"
"578",578,"HMK027",177,2006,"Caterpillar spp.","Parus1 major","predation",118.103,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"579",579,"HMK027",177,2007,"Caterpillar spp.","Parus1 major","predation",106.724,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Parus1 major predation"
"580",580,"HMK027",178,1961,"Caterpillar spp.","Ficedula1 albicollis","predation",105.172,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"581",581,"HMK027",178,1962,"Caterpillar spp.","Ficedula1 albicollis","predation",123.017,-0.182992498750978,118.154,-0.192331808613633,4.863,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"582",582,"HMK027",178,1963,"Caterpillar spp.","Ficedula1 albicollis","predation",121.983,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"583",583,"HMK027",178,1964,"Caterpillar spp.","Ficedula1 albicollis","predation",121.983,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"584",584,"HMK027",178,1965,"Caterpillar spp.","Ficedula1 albicollis","predation",128.707,-0.182992498750978,125.6155,-0.192331808613633,3.0915,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"585",585,"HMK027",178,1966,"Caterpillar spp.","Ficedula1 albicollis","predation",119.138,-0.182992498750978,118.385,-0.192331808613633,0.753,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"586",586,"HMK027",178,1967,"Caterpillar spp.","Ficedula1 albicollis","predation",119.655,-0.182992498750978,NA,NA,NA,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"587",587,"HMK027",178,1968,"Caterpillar spp.","Ficedula1 albicollis","predation",118.621,-0.182992498750978,124.077,-0.192331808613633,-5.456,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"588",588,"HMK027",178,1969,"Caterpillar spp.","Ficedula1 albicollis","predation",124.828,-0.182992498750978,121.308,-0.192331808613633,3.52,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"589",589,"HMK027",178,1970,"Caterpillar spp.","Ficedula1 albicollis","predation",125.086,-0.182992498750978,125.615,-0.192331808613633,-0.528999999999996,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"590",590,"HMK027",178,1971,"Caterpillar spp.","Ficedula1 albicollis","predation",119.655,-0.182992498750978,120.846,-0.192331808613633,-1.191,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"591",591,"HMK027",178,1972,"Caterpillar spp.","Ficedula1 albicollis","predation",117.845,-0.182992498750978,117.308,-0.192331808613633,0.536999999999992,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"592",592,"HMK027",178,1973,"Caterpillar spp.","Ficedula1 albicollis","predation",120.69,-0.182992498750978,122.692,-0.192331808613633,-2.002,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"593",593,"HMK027",178,1974,"Caterpillar spp.","Ficedula1 albicollis","predation",102.328,-0.182992498750978,120.231,-0.192331808613633,-17.903,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"594",594,"HMK027",178,1975,"Caterpillar spp.","Ficedula1 albicollis","predation",123.793,-0.182992498750978,122.846,-0.192331808613633,0.947000000000003,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"595",595,"HMK027",178,1976,"Caterpillar spp.","Ficedula1 albicollis","predation",122.5,-0.182992498750978,123.923,-0.192331808613633,-1.423,"daily","Caterpillar spp. Ficedula1 albicollis predation"
"596",596,"HMK027",178,1977,"Caterpillar spp.","Ficedula1 albicollis","predation",119.655,-0.182992498750978,118.692,-0.192331808613633,0.963000000000008,"daily","Caterpillar spp. Ficedula1 albicollis predation"
