studyid,studylocation,datasource,methods,site,envfactor,envparameter,sampleduration,seasonalblock,envtype,year,envunits,envvalue,species,phenophase,extra
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1986,doy,-2.74882,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1987,doy,-0.853081,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1988,doy,6.16114,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1989,doy,-4.64455,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1990,doy,1.99052,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1991,doy,-8.81517,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1992,doy,2.18009,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1993,doy,-6.72986,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1994,doy,1.99052,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1995,doy,0.094787,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1996,doy,-8.24645,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1997,doy,9.19431,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1998,doy,-8.81517,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1999,doy,-2.93839,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2000,doy,1.23223,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2001,doy,5.97156,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2002,doy,9.00474,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2003,doy,9.00474,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1950,doy,6.35071,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1951,doy,-10.7109,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1952,doy,0.473934,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1953,doy,2.18009,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1954,doy,-7.48815,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1955,doy,-0.663507,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1956,doy,16.3981,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1957,doy,-4.45498,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1958,doy,-3.69668,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1959,doy,6.35071,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1960,doy,-0.094787,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1961,doy,9.38389,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1962,doy,0.663507,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1963,doy,0.473934,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1964,doy,0.663507,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1965,doy,5.40284,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1966,doy,9.57346,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1967,doy,12.6066,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1968,doy,-2.36967,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1969,doy,-11.6588,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1970,doy,-4.64455,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1971,doy,8.24645,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1972,doy,2.55924,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1973,doy,-7.67773,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1974,doy,-1.61137,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1976,doy,-4.83412,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1977,doy,-4.83412,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1978,doy,7.29858,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1979,doy,-2.36967,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1980,doy,-1.4218,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1981,doy,1.4218,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1982,doy,4.2654,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1983,doy,-3.69668,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1984,doy,-0.663507,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1985,doy,-4.64455,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1986,doy,-3.50711,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1987,doy,5.40284,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1988,doy,4.07583,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1989,doy,-1.4218,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1990,doy,-2.55924,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1991,doy,-9.57346,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1992,doy,5.21327,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1993,doy,-1.4218,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1994,doy,-4.45498,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1995,doy,-5.78199,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1996,doy,-3.69668,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1997,doy,-0.853081,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1998,doy,-3.69668,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1999,doy,2.36967,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2000,doy,0.473934,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2001,doy,-0.473934,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2002,doy,0.094787,all,NA,10
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,2003,doy,5.40284,all,NA,10
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1975,C,1.663415,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1976,C,0.368293,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1977,C,-0.756098,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1978,C,-0.2,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1979,C,0.458537,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1980,C,2.336585,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1981,C,-0.717073,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1982,C,1.736585,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1983,C,3.226829,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1984,C,2.602439,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1985,C,-0.446341,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1986,C,1.2,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1987,C,1.014634,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1988,C,0.241463,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1989,C,3.468293,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1990,C,3.390244,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1991,C,2.092683,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1992,C,-0.465854,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1993,C,1.985366,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1994,C,2.729268,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1995,C,0.74878,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1996,C,0.573171,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1997,C,-1.556098,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1998,C,0.156098,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1999,C,2.556098,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2000,C,1.834146,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2001,C,1.936585,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2002,C,3.978049,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2003,C,0.631707,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2004,C,3.219512,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2005,C,1.956098,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2006,C,2.936585,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2007,C,1.953659,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2008,C,2.714634,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2009,C,0.782927,Poecile montanus,NA,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1975,C,4.322388,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1976,C,3.316418,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1977,C,1.337313,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1978,C,2.462687,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1979,C,2.644776,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1980,C,2.529851,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1981,C,2.814925,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1982,C,3.286567,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1983,C,5.383582,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1984,C,4.279104,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1985,C,1.144776,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1986,C,3.626866,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1987,C,2.4,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1988,C,2.61791,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1989,C,5.032836,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1990,C,4.173134,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1991,C,2.625373,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1992,C,2.362687,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1993,C,4.243284,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1994,C,3.035821,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1995,C,2.302985,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1996,C,1.70597,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1997,C,0.162687,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1998,C,2.029851,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1999,C,3.437313,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2000,C,3.673134,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2001,C,2.497015,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2002,C,4.955224,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2003,C,3.585075,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2004,C,3.719403,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2005,C,3.479104,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2006,C,3.902985,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2007,C,3.88209,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2008,C,2.91791,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,2009,C,2.68806,Epirrita autumnata,start,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1975,C,3.525676,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1976,C,1.128378,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1977,C,1.008108,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1978,C,0.395946,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1979,C,0.648649,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1980,C,0.944595,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1981,C,0.675676,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1982,C,2.659459,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1983,C,4.295946,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1984,C,1.952703,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1985,C,0.224324,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1986,C,2.974324,Epirrita autumnata,peak,NA
HMK011,"Oulunsalo, Finland",authors,weather station,NA,temperature,mean,monthly,march-may,air,1987,C,1.132432,Epirrita autumnata,peak,NA
