rowid,studyid,site,year,phenodiff,genus,species,genus2,species2,fitnesscomp,fitnessunit,gender,fitnessvalue,fitnesstype
47,HMK023,nopporo,2003,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.25,reproduction
48,HMK023,nopporo,2004,5,Corydalis,ambigua,NA,NA,seed set,number,NA,NA,reproduction
49,HMK023,nopporo,2005,3,Corydalis,ambigua,NA,NA,seed set,number,NA,0.35,reproduction
50,HMK023,nopporo,2006,1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.15,reproduction
51,HMK023,nopporo,2007,2,Corydalis,ambigua,NA,NA,seed set,number,NA,0.5,reproduction
52,HMK023,nopporo,2008,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.29,reproduction
53,HMK023,nopporo,2009,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.32,reproduction
54,HMK023,nopporo,2010,-1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.57,reproduction
55,HMK023,nopporo,2011,1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.66,reproduction
56,HMK023,nopporo,2012,0,Corydalis,ambigua,NA,NA,seed set,number,NA,0.57,reproduction
57,HMK023,tomakomai,1999,3,Corydalis,ambigua,NA,NA,seed set,number,NA,0.58,reproduction
58,HMK023,tomakomai,2000,5,Corydalis,ambigua,NA,NA,seed set,number,NA,0.38,reproduction
59,HMK023,tomakomai,2001,1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.48,reproduction
60,HMK023,tomakomai,2002,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.04,reproduction
61,HMK023,tomakomai,2003,4,Corydalis,ambigua,NA,NA,seed set,number,NA,0.44,reproduction
62,HMK023,tomakomai,2004,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.16,reproduction
63,HMK023,tomakomai,2005,5,Corydalis,ambigua,NA,NA,seed set,number,NA,0.35,reproduction
64,HMK023,tomakomai,2006,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.2,reproduction
65,HMK023,tomakomai,2007,-1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.78,reproduction
66,HMK023,tomakomai,2008,2,Corydalis,ambigua,NA,NA,seed set,number,NA,0.44,reproduction
67,HMK023,jozankei,1999,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.74,reproduction
68,HMK023,jozankei,2000,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.64,reproduction
69,HMK023,jozankei,2001,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.73,reproduction
70,HMK023,jozankei,2002,5,Corydalis,ambigua,NA,NA,seed set,number,NA,0.32,reproduction
71,HMK023,jozankei,2003,2,Corydalis,ambigua,NA,NA,seed set,number,NA,0.6,reproduction
72,HMK023,jozankei,2004,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.3,reproduction
73,HMK023,jozankei,2005,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.75,reproduction
74,HMK023,jozankei,2006,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.49,reproduction
75,HMK023,jozankei,2007,-7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.78,reproduction
76,HMK023,jozankei,2008,5,Corydalis,ambigua,NA,NA,seed set,number,NA,0.2,reproduction
77,HMK023,jozankei,2009,-8,Corydalis,ambigua,NA,NA,seed set,number,NA,0.64,reproduction
78,HMK023,jozankei,2010,NA,Corydalis,ambigua,NA,NA,seed set,number,NA,0.51,reproduction
79,HMK023,jozankei,2011,-1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.64,reproduction
80,HMK023,jozankei,2012,2,Corydalis,ambigua,NA,NA,seed set,number,NA,0.53,reproduction
81,HMK026,NA,NA,0.384892,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.0414894,survival
82,HMK026,NA,NA,0.456835,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.0510638,survival
83,HMK026,NA,NA,0.658273,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.0510638,survival
84,HMK026,NA,NA,0.66187,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.229787,survival
85,HMK026,NA,NA,0.723022,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.453191,survival
86,HMK026,NA,NA,0.906475,Rangifer1,tarandus,NA,NA,early calf mortality,,NA,0.293617,survival
87,HMK026,NA,NA,0.382985,Rangifer1,tarandus,NA,NA,calf production,,NA,0.420068,reproduction
88,HMK026,NA,NA,0.45855,Rangifer1,tarandus,NA,NA,calf production,,NA,0.42621,reproduction
89,HMK026,NA,NA,0.659843,Rangifer1,tarandus,NA,NA,calf production,,NA,0.39046,reproduction
90,HMK026,NA,NA,0.662807,Rangifer1,tarandus,NA,NA,calf production,,NA,0.234062,reproduction
91,HMK026,NA,NA,0.720088,Rangifer1,tarandus,NA,NA,calf production,,NA,0.166856,reproduction
92,HMK026,NA,NA,0.914032,Rangifer1,tarandus,NA,NA,calf production,,NA,0.0928305,reproduction
93,HMK029,NA,1962,-25.275,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,18.8199,demographic
94,HMK029,NA,1963,-13.868,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,28.2416,demographic
95,HMK029,NA,1964,-29.319,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,91.0111,demographic
96,HMK029,NA,1966,-27.997,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,49.9774,demographic
97,HMK029,NA,1967,-7.175,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,73.0848,demographic
98,HMK029,NA,1968,13.35,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,166.875,demographic
99,HMK029,NA,1970,-32.477,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,108.53,demographic
100,HMK029,NA,1971,2.316,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,73.2416,demographic
101,HMK029,NA,1972,-7.944,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,31.4436,demographic
102,HMK029,NA,1973,-1.591,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,97.8305,demographic
103,HMK029,NA,1974,-13.853,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,13.4859,demographic
104,HMK029,NA,1975,-20.834,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,31.5533,demographic
105,HMK029,NA,1976,-42.1772,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,227.014,demographic
106,HMK029,NA,1977,1.811,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,20.8187,demographic
107,HMK029,NA,1978,1.659,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,6.41961,demographic
108,HMK029,NA,1979,6.822,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,9.34332,demographic
109,HMK029,NA,1980,NA,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,5.0479,demographic
110,HMK029,NA,1981,2.134,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,119.018,demographic
111,HMK029,NA,1982,-13.969,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,103.188,demographic
112,HMK029,NA,1983,-12.551,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,29.6799,demographic
113,HMK029,NA,1985,-25.946,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,127.812,demographic
114,HMK029,NA,1984,-19.397,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,23.2172,demographic
115,HMK029,NA,1987,1.442,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,120.679,demographic
116,HMK029,NA,1986,-34.0222,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,21.8533,demographic
117,HMK029,NA,1988,1.768,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,11.8281,demographic
118,HMK029,NA,1989,-21.289,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,102.004,demographic
119,HMK029,NA,1990,-26.564,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,28.4885,demographic
120,HMK029,NA,1993,-26.7359,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,106.464,demographic
121,HMK029,NA,1994,-16.94,Keratella1,cochlearis,NA,NA,density,noL^-1,NA,123.094,demographic
122,HMK029,NA,1962,-25.275,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,1.84236,reproduction
123,HMK029,NA,1963,-13.868,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,14.2479,reproduction
124,HMK029,NA,1964,-29.319,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,9.12644,reproduction
125,HMK029,NA,1965,-1.499,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,55.064,reproduction
126,HMK029,NA,1966,-27.997,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,6.43678,reproduction
127,HMK029,NA,1968,13.35,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,27.3153,reproduction
128,HMK029,NA,1969,-14.736,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,77.1839,reproduction
129,HMK029,NA,1967,-7.175,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,7.35796,reproduction
130,HMK029,NA,1970,-32.477,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,14.3563,reproduction
131,HMK029,NA,1971,2.316,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,12.2512,reproduction
132,HMK029,NA,1972,-7.944,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,6.22332,reproduction
133,HMK029,NA,1973,-1.591,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,18.6273,reproduction
134,HMK029,NA,1974,-13.853,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,0.81445,reproduction
135,HMK029,NA,1975,-20.834,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,3.55172,reproduction
136,HMK029,NA,1976,-42.1772,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,31.0591,reproduction
137,HMK029,NA,1977,1.811,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,3.88177,reproduction
138,HMK029,NA,1978,1.659,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,0.574713,reproduction
139,HMK029,NA,1979,6.822,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,2.4023,reproduction
140,HMK029,NA,1980,NA,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,0,reproduction
141,HMK029,NA,1981,2.134,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,7.26765,reproduction
142,HMK029,NA,1982,-13.969,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,26.3136,reproduction
143,HMK029,NA,1983,-12.551,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,9.10673,reproduction
144,HMK029,NA,1984,-19.397,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,2.47947,reproduction
145,HMK029,NA,1985,-25.946,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,33.3038,reproduction
146,HMK029,NA,1986,-34.0222,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,1.30049,reproduction
147,HMK029,NA,1987,1.442,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,23.3711,reproduction
148,HMK029,NA,1988,1.768,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,0,reproduction
149,HMK029,NA,1989,-21.289,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,13.1281,reproduction
150,HMK029,NA,1990,-26.564,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,5.88834,reproduction
151,HMK029,NA,1993,-26.7359,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,16.5074,reproduction
152,HMK029,NA,1994,-16.94,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,17.4335,reproduction
153,HMK029,NA,1995,-18.471,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,25.0016,reproduction
154,HMK029,NA,1991,-26.023,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,83.555,reproduction
155,HMK029,NA,1992,-4.9397,Keratella1,cochlearis,NA,NA,egg number,eggs/L,NA,82.0558,reproduction
156,HMK029,NA,1977,-7.275,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,16.1597,demographic
157,HMK029,NA,1978,-15.943,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,11.0049,demographic
158,HMK029,NA,1979,-36.106,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,10.6222,demographic
159,HMK029,NA,1981,-6.53,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,10.2375,demographic
160,HMK029,NA,1982,-28.669,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,5.73309,demographic
161,HMK029,NA,1980,-63.358,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,1.833,demographic
162,HMK029,NA,1983,-22.803,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,13.7575,demographic
163,HMK029,NA,1984,-49.865,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,10.2834,demographic
164,HMK029,NA,1985,-35.45,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,10.1721,demographic
165,HMK029,NA,1986,-55.7152,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,9.03012,demographic
166,HMK029,NA,1987,-29.033,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,11.3599,demographic
167,HMK029,NA,1988,-15.7,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,10.8688,demographic
168,HMK029,NA,1989,-34.706,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,4.35779,demographic
169,HMK029,NA,1990,-44.533,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,4.02954,demographic
170,HMK029,NA,1991,-42.507,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,0.989793,demographic
171,HMK029,NA,1993,-38.7769,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,4.61769,demographic
172,HMK029,NA,1992,-62.7182,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,5.10946,demographic
173,HMK029,NA,1994,-60.816,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,5.42904,demographic
174,HMK029,NA,1995,-36.665,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,2.823,demographic
175,HMK029,NA,1996,-52.126,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,6.45432,demographic
176,HMK029,NA,1997,-39.9038,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,0.539355,demographic
177,HMK029,NA,1999,-81.993,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,2.59536,demographic
178,HMK029,NA,2000,-69.9381,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,8.12461,demographic
179,HMK029,NA,2001,-51.383,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,7.25418,demographic
180,HMK029,NA,2002,-66.4877,Daphnia,pulicaria,NA,NA,density,noL^-1,NA,3.83396,demographic
181,HMK029,NA,1977,-7.275,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,5.83669,reproduction
182,HMK029,NA,1978,-15.943,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,2.01926,reproduction
183,HMK029,NA,1979,-36.106,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,2.52715,reproduction
184,HMK029,NA,1980,-63.358,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,0.745202,reproduction
185,HMK029,NA,1981,-6.53,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,4.85725,reproduction
186,HMK029,NA,1982,-28.669,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.9302,reproduction
187,HMK029,NA,1983,-22.803,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,6.04232,reproduction
188,HMK029,NA,1984,-49.865,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,5.23565,reproduction
189,HMK029,NA,1985,-35.45,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,4.5349,reproduction
190,HMK029,NA,1986,-55.7152,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,2.62566,reproduction
191,HMK029,NA,1987,-29.033,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,4.15122,reproduction
192,HMK029,NA,1988,-15.7,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.54234,reproduction
193,HMK029,NA,1989,-34.706,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,2.24104,reproduction
194,HMK029,NA,1990,-44.533,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.3282,reproduction
195,HMK029,NA,1991,-42.507,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,0.627451,reproduction
196,HMK029,NA,1992,-62.7182,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,2.04692,reproduction
197,HMK029,NA,1993,-38.7769,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.64299,reproduction
198,HMK029,NA,1994,-60.816,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.91759,reproduction
199,HMK029,NA,1995,-36.665,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,0.814166,reproduction
200,HMK029,NA,1996,-52.126,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,3.63285,reproduction
201,HMK029,NA,1997,NA,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,0.727153,reproduction
202,HMK029,NA,1998,-39.9038,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,3.24894,reproduction
203,HMK029,NA,1999,-81.993,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.5094,reproduction
204,HMK029,NA,2000,-69.9381,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.9536,reproduction
205,HMK029,NA,2001,-51.383,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,3.13978,reproduction
206,HMK029,NA,2002,-66.4877,Daphnia,pulicaria,NA,NA,egg number,eggs/L,NA,1.12454,reproduction
207,HMK030,NA,NA,0.363897,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.0315789,survival
208,HMK030,NA,NA,0.454846,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.0367619,survival
209,HMK030,NA,NA,0.663974,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.041624,survival
210,HMK030,NA,NA,0.632776,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.123157,survival
211,HMK030,NA,NA,0.665399,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.22895,survival
212,HMK030,NA,NA,0.788166,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.234047,survival
213,HMK030,NA,NA,0.783166,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.174332,survival
214,HMK030,NA,NA,0.717072,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.44872,survival
215,HMK030,NA,NA,0.781554,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.559857,survival
216,HMK030,NA,NA,0.931427,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.54316,survival
217,HMK030,NA,NA,0.920208,Rangifer2,tarandus,NA,NA,early calf mortality,,NA,0.263553,survival
218,HMK030,NA,NA,0.371356,Rangifer2,tarandus,NA,NA,calf production,,NA,0.416277,reproduction
219,HMK030,NA,NA,0.471354,Rangifer2,tarandus,NA,NA,calf production,,NA,0.416004,reproduction
220,HMK030,NA,NA,0.643292,Rangifer2,tarandus,NA,NA,calf production,,NA,0.311895,reproduction
221,HMK030,NA,NA,0.675627,Rangifer2,tarandus,NA,NA,calf production,,NA,0.379991,reproduction
222,HMK030,NA,NA,0.679036,Rangifer2,tarandus,NA,NA,calf production,,NA,0.229976,reproduction
223,HMK030,NA,NA,0.728559,Rangifer2,tarandus,NA,NA,calf production,,NA,0.167111,reproduction
224,HMK030,NA,NA,0.789013,Rangifer2,tarandus,NA,NA,calf production,,NA,0.346953,reproduction
225,HMK030,NA,NA,0.787876,Rangifer2,tarandus,NA,NA,calf production,,NA,0.19695,reproduction
226,HMK030,NA,NA,0.787194,Rangifer2,tarandus,NA,NA,calf production,,NA,0.106948,reproduction
227,HMK030,NA,NA,0.923431,Rangifer2,tarandus,NA,NA,calf production,,NA,0.0902126,reproduction
228,HMK030,NA,NA,0.93777,Rangifer2,tarandus,NA,NA,calf production,,NA,0.182905,reproduction
229,HMK031,NA,1983,NA,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,0.598291,demographic
230,HMK031,NA,1984,NA,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,0.25641,demographic
231,HMK031,NA,1985,-144.7894,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,0.42735,demographic
232,HMK031,NA,1986,-162.1011,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,10.2564,demographic
233,HMK031,NA,1987,-117.0813,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,0.769231,demographic
234,HMK031,NA,1988,NA,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,4.95726,demographic
235,HMK031,NA,1989,-203.3675,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,2.5641,demographic
236,HMK031,NA,1990,-183.81832,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,1.88034,demographic
237,HMK031,NA,1991,-166.6434,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,0.769231,demographic
238,HMK031,NA,1992,NA,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,1.36752,demographic
239,HMK031,NA,1993,-175.9002,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,9.05983,demographic
240,HMK031,NA,1994,-151.9287,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,1.96581,demographic
241,HMK031,NA,1995,-255.37407,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,24.359,demographic
242,HMK031,NA,1996,-165.1356,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,10.5983,demographic
243,HMK031,NA,1997,-168.5635,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,12.5641,demographic
244,HMK031,NA,1998,-190.4189,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,18.1197,demographic
245,HMK031,NA,1999,NA,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,15.9829,demographic
246,HMK031,NA,2000,-183.9565,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,12.8205,demographic
247,HMK031,NA,2001,-160.2244,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,8.2906,demographic
248,HMK031,NA,2002,-214.3043,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,16.9231,demographic
249,HMK031,NA,2003,-202.272,Thermocyclops,oithonoides,NA,NA,density,individuals L-1,NA,22.0513,demographic
250,HMK031,NA,1980,-136.3957,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,10.8671,demographic
251,HMK031,NA,1981,-148.7472,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,7.39884,demographic
