studyid,site,predictunits,predictvalue,genus,species,genus_2nd,spp_2nd,phenophase,pheno,phenounits,phenovalue,phenofreq,phenovarunit,phenovarvalue,fitnesscomp,fitnessunit,fitnessvalue,fitnessvarunit,fitnessvarvalue,
EMW001,NA,year,1999,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,137.625,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,2002,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,106.958,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,2004,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,176,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Acer,saccharum,NA,NA,stage5leafunfolded,end,doy,147.959,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Acer,saccharum,NA,NA,stage5leafunfolded,end,doy,139.966,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,startabundance,start,doy,161,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,peakabundance,peak,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Acer,saccharum,endabundance,end,doy,183,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,startabundance,start,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,peakabundance,peak,doy,177,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Ostrya,virginiana,endabundance,end,doy,183,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Barypeithes,pellucidus,Rubus,spp.,noabundance,start,doy,NA,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,startabundance,start,doy,156,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Acer,saccharum,endabundance,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,startabundance,start,doy,156,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Ostrya,virginiana,endabundance,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,startabundance,start,doy,156,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,peakabundance,peak,doy,184,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Barypeithes,pellucidus,Rubus,spp.,endabundance,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Ostrya,virginiana,NA,NA,stage5leafunfolded,end,doy,147.987,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Ostrya,virginiana,NA,NA,stage5leafunfolded,end,doy,139.982,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,startobs,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,peakabundance,peak,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Acer,saccharum,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,startobs,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,peakabundance,peak,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Ostrya,virginiana,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,startobs,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,peakabundance,peak,doy,155,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Phyllobius,oblongus,Rubus,spp.,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Acer,saccharum,endabundance,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Ostrya,virginiana,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Phyllobius,oblongus,Rubus,spp.,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Acer,saccharum,noabundance,start,doy,NA,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,startabundance,start,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,peakabundance,peak,doy,177,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Ostrya,virginiana,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,startabundance,start,doy,168,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,peakabundance,peak,doy,177,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Polydrusus,sericeus,Rubus,spp.,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,startabundance,start,doy,172,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,peakabundance,peak,doy,184,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Acer,saccharum,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,startabundance,start,doy,172,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,peakabundance,peak,doy,184,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Ostrya,virginiana,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,startabundance,start,doy,172,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,peakabundance,peak,doy,184,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Polydrusus,sericeus,Rubus,spp.,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,147.972,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Rubus,spp.,NA,NA,stage5leafunfolded,end,doy,139.961,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,startabundance,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,peakabundance,peak,doy,177,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Acer,saccharum,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,startabundance,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,peakabundance,peak,doy,177,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Ostrya,virginiana,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,startabundance,start,doy,148,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,peakabundance,peak,doy,161,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2008,Sciaphilus,asperatus,Rubus,spp.,endobs,end,doy,190,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Acer,saccharum,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,peakabundance,peak,doy,162,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Ostrya,virginiana,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,startobs,start,doy,149,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,peakabundance,peak,doy,184,daily,NA,NA,NA,NA,NA,NA,NA,
EMW002,NA,year,2009,Sciaphilus,asperatus,Rubus,spp.,endobs,end,doy,194,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1982,Quercus,spp,NA,NA,initial bud flushing,start,doy,99.6054,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1983,Quercus,spp,NA,NA,initial bud flushing,start,doy,92.7749,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1984,Quercus,spp,NA,NA,initial bud flushing,start,doy,100.0908,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1985,Quercus,spp,NA,NA,initial bud flushing,start,doy,107.67,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1986,Quercus,spp,NA,NA,initial bud flushing,start,doy,92.4126,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1987,Quercus,spp,NA,NA,initial bud flushing,start,doy,115.786,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1988,Quercus,spp,NA,NA,initial bud flushing,start,doy,95.9811,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1982,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,102.261,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1983,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,96.6617,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1984,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,105.007,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1985,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,109.914,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1986,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,96.7122,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1987,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,114.949,daily,NA,NA,NA,NA,NA,NA,NA,
HMK004,NA,year,1988,Tortrix,viridana,NA,NA,initial egg hatch,start,doy,101.514,daily,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,75,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,138,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,103,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,105,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,154,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Corticeus,parallelus,NA,NA,start of adult activity,start,doy,156,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,103,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,103,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,164,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,168,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Cucujus,clavipes,NA,NA,start of adult activity,start,doy,88,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,141,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,138,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,150,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,154,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Dendroctonus,valens,NA,NA,start of adult activity,start,doy,149,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,140,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Dryocetes,autographus,NA,NA,start of adult activity,start,doy,156,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,137,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,206,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,155,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Enoclerus,nigripes,NA,NA,start of adult activity,start,doy,294,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,127,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,137,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,154,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Gnathotrichus,materiarius,NA,NA,start of adult activity,start,doy,132,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,139,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,198,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Hylastes,porculus,NA,NA,start of adult activity,start,doy,141,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,155,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Hylastes,porculus,NA,NA,start of adult activity,start,doy,156,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,141,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,137,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,125,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,155,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Hylurgops,rugipennis pinnifex,NA,NA,start of adult activity,start,doy,127,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,138,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,139,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,134,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,152,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Ips,grandicollis,NA,NA,start of adult activity,start,doy,134,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Ips,pini,NA,NA,start of adult activity,start,doy,134,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,119,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,125,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,133,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,154,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Ips,pini,NA,NA,start of adult activity,start,doy,127,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Ips,grandicollis,NA,NA,start of adult activity,start,doy,149,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,190,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Monochamus,spp,NA,NA,start of adult activity,start,doy,183,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,177,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Monochamus,spp,NA,NA,start of adult activity,start,doy,176,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,139,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,141,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,138,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,150,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,154,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Orthotomicus,caelatus,NA,NA,start of adult activity,start,doy,156,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,NA,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,134,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1996,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,103,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,lansing,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,92,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,northern,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,164,weekly,NA,NA,NA,NA,NA,NA,NA,
HMK006,southwestern,year,1997,Pissodes,approximatus,NA,NA,start of adult activity,start,doy,94,weekly,NA,NA,NA,NA,NA,NA,NA,
