"","studyid","year","envvalue","z","envfactor","X","species","phenovalue","slope","intid","int_type","spp"
"37","HMK016",1999,-1.72308,-1.6863206993088,"temperature",2271,"Cerorhinca monocerata",155.515,0.623592857142876,165,"predation","spp2"
"40","HMK016",2000,-0.8,-0.782933212298348,"temperature",2272,"Cerorhinca monocerata",149.935,0.623592857142876,165,"predation","spp2"
"41","HMK016",2001,-1.26154,-1.23462695580357,"temperature",2273,"Cerorhinca monocerata",156.489,0.623592857142876,165,"predation","spp2"
"44","HMK016",2002,1.72308,1.6863206993088,"temperature",2274,"Cerorhinca monocerata",136.909,0.623592857142876,165,"predation","spp2"
"45","HMK016",2003,0,1.68483132925856e-17,"temperature",2275,"Cerorhinca monocerata",146.73,0.623592857142876,165,"predation","spp2"
"46","HMK016",2004,0.523077,0.511917944861728,"temperature",2276,"Cerorhinca monocerata",157.018,0.623592857142876,165,"predation","spp2"
"48","HMK016",2005,-0.430769,-0.421579196160684,"temperature",2277,"Cerorhinca monocerata",149.105,0.623592857142876,165,"predation","spp2"
"26","HMK016",1993,0.738462,0.722708032275328,"temperature",380,"Engraulis japonicus",165.259,-1.50021650055365,165,"predation","spp1"
"29","HMK016",1995,0.307692,0.301127857448129,"temperature",381,"Engraulis japonicus",171.541,-1.50021650055365,165,"predation","spp1"
"32","HMK016",1996,-0.276923,-0.271015267436619,"temperature",382,"Engraulis japonicus",180.839,-1.50021650055365,165,"predation","spp1"
"34","HMK016",1997,-0.8,-0.782933212298348,"temperature",383,"Engraulis japonicus",214.747,-1.50021650055365,165,"predation","spp1"
"36","HMK016",1998,0.707692,0.692594463597303,"temperature",384,"Engraulis japonicus",136.361,-1.50021650055365,165,"predation","spp1"
"38","HMK016",1999,-1.72308,-1.6863206993088,"temperature",385,"Engraulis japonicus",157.962,-1.50021650055365,165,"predation","spp1"
"39","HMK016",2000,-0.8,-0.782933212298348,"temperature",386,"Engraulis japonicus",162.641,-1.50021650055365,165,"predation","spp1"
"42","HMK016",2001,-1.26154,-1.23462695580357,"temperature",387,"Engraulis japonicus",145.798,-1.50021650055365,165,"predation","spp1"
"43","HMK016",2002,1.72308,1.6863206993088,"temperature",388,"Engraulis japonicus",110.476,-1.50021650055365,165,"predation","spp1"
"47","HMK016",2005,-0.430769,-0.421579196160684,"temperature",389,"Engraulis japonicus",169.134,-1.50021650055365,165,"predation","spp1"
"49","HMK018",1991,-5.6,-1.08971278499702,"temperature",391,"Pygoscelis adeliae",309,0.276960784313682,168,"competition","spp1"
"51","HMK018",1991,-5.6,-1.08971278499702,"temperature",408,"Pygoscelis adeliae",309,0.276960784313682,167,"competition","spp1"
"53","HMK018",1992,-3.65,0.164285883215318,"temperature",409,"Pygoscelis adeliae",307,0.276960784313682,167,"competition","spp1"
"55","HMK018",1992,-3.65,0.164285883215318,"temperature",392,"Pygoscelis adeliae",307,0.276960784313682,168,"competition","spp1"
"57","HMK018",1993,-3.65,0.164285883215318,"temperature",410,"Pygoscelis adeliae",301,0.276960784313682,167,"competition","spp1"
"58","HMK018",1993,-3.65,0.164285883215318,"temperature",393,"Pygoscelis adeliae",301,0.276960784313682,168,"competition","spp1"
"61","HMK018",1994,-7.75,-2.47232670123114,"temperature",411,"Pygoscelis adeliae",311,0.276960784313682,167,"competition","spp1"
"62","HMK018",1994,-7.75,-2.47232670123114,"temperature",394,"Pygoscelis adeliae",311,0.276960784313682,168,"competition","spp1"
"66","HMK018",1995,-2.85,0.678746875302432,"temperature",395,"Pygoscelis adeliae",303,0.276960784313682,168,"competition","spp1"
"68","HMK018",1995,-2.85,0.678746875302432,"temperature",412,"Pygoscelis adeliae",303,0.276960784313682,167,"competition","spp1"
"69","HMK018",1996,-2.9,0.646593063296987,"temperature",413,"Pygoscelis adeliae",303,0.276960784313682,167,"competition","spp1"
"70","HMK018",1996,-2.9,0.646593063296987,"temperature",396,"Pygoscelis adeliae",303,0.276960784313682,168,"competition","spp1"
"74","HMK018",1997,-3.4,0.325054943242541,"temperature",397,"Pygoscelis adeliae",303,0.276960784313682,168,"competition","spp1"
"76","HMK018",1997,-3.4,0.325054943242541,"temperature",414,"Pygoscelis adeliae",303,0.276960784313682,167,"competition","spp1"
"80","HMK018",1998,-2.8,0.710900687307877,"temperature",398,"Pygoscelis adeliae",303,0.276960784313682,168,"competition","spp1"
"83","HMK018",1998,-2.8,0.710900687307877,"temperature",415,"Pygoscelis adeliae",303,0.276960784313682,167,"competition","spp1"
"88","HMK018",1999,-2.8,0.710900687307877,"temperature",399,"Pygoscelis adeliae",305,0.276960784313682,168,"competition","spp1"
"90","HMK018",1999,-2.8,0.710900687307877,"temperature",416,"Pygoscelis adeliae",305,0.276960784313682,167,"competition","spp1"
"91","HMK018",2000,-1.9,1.28966930340588,"temperature",417,"Pygoscelis adeliae",304,0.276960784313682,167,"competition","spp1"
"93","HMK018",2000,-1.9,1.28966930340588,"temperature",400,"Pygoscelis adeliae",304,0.276960784313682,168,"competition","spp1"
"100","HMK018",2001,-2.1,1.1610540553841,"temperature",418,"Pygoscelis adeliae",300,0.276960784313682,167,"competition","spp1"
"101","HMK018",2001,-2.1,1.1610540553841,"temperature",401,"Pygoscelis adeliae",300,0.276960784313682,168,"competition","spp1"
"107","HMK018",2002,-5.35,-0.928943724969798,"temperature",402,"Pygoscelis adeliae",308,0.276960784313682,168,"competition","spp1"
"108","HMK018",2002,-5.35,-0.928943724969798,"temperature",419,"Pygoscelis adeliae",308,0.276960784313682,167,"competition","spp1"
"109","HMK018",2003,-3.3,0.389362567253431,"temperature",420,"Pygoscelis adeliae",304,0.276960784313682,167,"competition","spp1"
"114","HMK018",2003,-3.3,0.389362567253431,"temperature",403,"Pygoscelis adeliae",304,0.276960784313682,168,"competition","spp1"
"115","HMK018",2004,-4.65,-0.478790356893574,"temperature",404,"Pygoscelis adeliae",302,0.276960784313682,168,"competition","spp1"
"116","HMK018",2004,-4.65,-0.478790356893574,"temperature",421,"Pygoscelis adeliae",302,0.276960784313682,167,"competition","spp1"
"121","HMK018",2005,-2.25,1.06459261936777,"temperature",422,"Pygoscelis adeliae",309.5,0.276960784313682,167,"competition","spp1"
"122","HMK018",2005,-2.25,1.06459261936777,"temperature",405,"Pygoscelis adeliae",309.5,0.276960784313682,168,"competition","spp1"
"130","HMK018",2006,-1.7,1.41828455142766,"temperature",406,"Pygoscelis adeliae",310,0.276960784313682,168,"competition","spp1"
"132","HMK018",2006,-1.7,1.41828455142766,"temperature",423,"Pygoscelis adeliae",310,0.276960784313682,167,"competition","spp1"
"135","HMK018",2007,-4.5,-0.38232892087724,"temperature",407,"Pygoscelis adeliae",318,0.276960784313682,168,"competition","spp1"
"136","HMK018",2007,-4.5,-0.38232892087724,"temperature",424,"Pygoscelis adeliae",318,0.276960784313682,167,"competition","spp1"
"75","HMK018",1997,-3.4,0.325054943242541,"temperature",2313,"Pygoscelis antarcticus",329,-0.321212121212127,167,"competition","spp2"
"78","HMK018",1997,-3.4,0.325054943242541,"temperature",425,"Pygoscelis antarcticus",329,-0.321212121212127,169,"competition","spp1"
"81","HMK018",1998,-2.8,0.710900687307877,"temperature",2314,"Pygoscelis antarcticus",325,-0.321212121212127,167,"competition","spp2"
"82","HMK018",1998,-2.8,0.710900687307877,"temperature",426,"Pygoscelis antarcticus",325,-0.321212121212127,169,"competition","spp1"
"87","HMK018",1999,-2.8,0.710900687307877,"temperature",2315,"Pygoscelis antarcticus",324,-0.321212121212127,167,"competition","spp2"
"89","HMK018",1999,-2.8,0.710900687307877,"temperature",427,"Pygoscelis antarcticus",324,-0.321212121212127,169,"competition","spp1"
"94","HMK018",2000,-1.9,1.28966930340588,"temperature",2316,"Pygoscelis antarcticus",325,-0.321212121212127,167,"competition","spp2"
"96","HMK018",2000,-1.9,1.28966930340588,"temperature",428,"Pygoscelis antarcticus",325,-0.321212121212127,169,"competition","spp1"
"99","HMK018",2001,-2.1,1.1610540553841,"temperature",2317,"Pygoscelis antarcticus",324,-0.321212121212127,167,"competition","spp2"
"102","HMK018",2001,-2.1,1.1610540553841,"temperature",429,"Pygoscelis antarcticus",324,-0.321212121212127,169,"competition","spp1"
"103","HMK018",2002,-5.35,-0.928943724969798,"temperature",430,"Pygoscelis antarcticus",329,-0.321212121212127,169,"competition","spp1"
"106","HMK018",2002,-5.35,-0.928943724969798,"temperature",2318,"Pygoscelis antarcticus",329,-0.321212121212127,167,"competition","spp2"
"112","HMK018",2003,-3.3,0.389362567253431,"temperature",431,"Pygoscelis antarcticus",326,-0.321212121212127,169,"competition","spp1"
"113","HMK018",2003,-3.3,0.389362567253431,"temperature",2319,"Pygoscelis antarcticus",326,-0.321212121212127,167,"competition","spp2"
"117","HMK018",2004,-4.65,-0.478790356893574,"temperature",2320,"Pygoscelis antarcticus",329,-0.321212121212127,167,"competition","spp2"
"119","HMK018",2004,-4.65,-0.478790356893574,"temperature",432,"Pygoscelis antarcticus",329,-0.321212121212127,169,"competition","spp1"
"124","HMK018",2005,-2.25,1.06459261936777,"temperature",433,"Pygoscelis antarcticus",323,-0.321212121212127,169,"competition","spp1"
"126","HMK018",2005,-2.25,1.06459261936777,"temperature",2321,"Pygoscelis antarcticus",323,-0.321212121212127,167,"competition","spp2"
"127","HMK018",2006,-1.7,1.41828455142766,"temperature",2322,"Pygoscelis antarcticus",321,-0.321212121212127,167,"competition","spp2"
"131","HMK018",2006,-1.7,1.41828455142766,"temperature",434,"Pygoscelis antarcticus",321,-0.321212121212127,169,"competition","spp1"
"50","HMK018",1991,-5.6,-1.08971278499702,"temperature",2279,"Pygoscelis papua",320,0.186274509803873,168,"competition","spp2"
"52","HMK018",1991,-5.6,-1.08971278499702,"temperature",2296,"Pygoscelis papua",320,0.186274509803873,169,"competition","spp2"
"54","HMK018",1992,-3.65,0.164285883215318,"temperature",2297,"Pygoscelis papua",316,0.186274509803873,169,"competition","spp2"
"56","HMK018",1992,-3.65,0.164285883215318,"temperature",2280,"Pygoscelis papua",316,0.186274509803873,168,"competition","spp2"
"59","HMK018",1993,-3.65,0.164285883215318,"temperature",2298,"Pygoscelis papua",308,0.186274509803873,169,"competition","spp2"
"60","HMK018",1993,-3.65,0.164285883215318,"temperature",2281,"Pygoscelis papua",308,0.186274509803873,168,"competition","spp2"
"63","HMK018",1994,-7.75,-2.47232670123114,"temperature",2299,"Pygoscelis papua",321,0.186274509803873,169,"competition","spp2"
"64","HMK018",1994,-7.75,-2.47232670123114,"temperature",2282,"Pygoscelis papua",321,0.186274509803873,168,"competition","spp2"
"65","HMK018",1995,-2.85,0.678746875302432,"temperature",2300,"Pygoscelis papua",304,0.186274509803873,169,"competition","spp2"
"67","HMK018",1995,-2.85,0.678746875302432,"temperature",2283,"Pygoscelis papua",304,0.186274509803873,168,"competition","spp2"
"71","HMK018",1996,-2.9,0.646593063296987,"temperature",2284,"Pygoscelis papua",309,0.186274509803873,168,"competition","spp2"
"72","HMK018",1996,-2.9,0.646593063296987,"temperature",2301,"Pygoscelis papua",309,0.186274509803873,169,"competition","spp2"
"73","HMK018",1997,-3.4,0.325054943242541,"temperature",2285,"Pygoscelis papua",308,0.186274509803873,168,"competition","spp2"
"77","HMK018",1997,-3.4,0.325054943242541,"temperature",2302,"Pygoscelis papua",308,0.186274509803873,169,"competition","spp2"
"79","HMK018",1998,-2.8,0.710900687307877,"temperature",2286,"Pygoscelis papua",316,0.186274509803873,168,"competition","spp2"
"84","HMK018",1998,-2.8,0.710900687307877,"temperature",2303,"Pygoscelis papua",316,0.186274509803873,169,"competition","spp2"
"85","HMK018",1999,-2.8,0.710900687307877,"temperature",2287,"Pygoscelis papua",314.5,0.186274509803873,168,"competition","spp2"
"86","HMK018",1999,-2.8,0.710900687307877,"temperature",2304,"Pygoscelis papua",314.5,0.186274509803873,169,"competition","spp2"
"92","HMK018",2000,-1.9,1.28966930340588,"temperature",2305,"Pygoscelis papua",314.5,0.186274509803873,169,"competition","spp2"
"95","HMK018",2000,-1.9,1.28966930340588,"temperature",2288,"Pygoscelis papua",314.5,0.186274509803873,168,"competition","spp2"
"97","HMK018",2001,-2.1,1.1610540553841,"temperature",2289,"Pygoscelis papua",306,0.186274509803873,168,"competition","spp2"
"98","HMK018",2001,-2.1,1.1610540553841,"temperature",2306,"Pygoscelis papua",306,0.186274509803873,169,"competition","spp2"
"104","HMK018",2002,-5.35,-0.928943724969798,"temperature",2307,"Pygoscelis papua",323.5,0.186274509803873,169,"competition","spp2"
"105","HMK018",2002,-5.35,-0.928943724969798,"temperature",2290,"Pygoscelis papua",323.5,0.186274509803873,168,"competition","spp2"
"110","HMK018",2003,-3.3,0.389362567253431,"temperature",2308,"Pygoscelis papua",317.5,0.186274509803873,169,"competition","spp2"
"111","HMK018",2003,-3.3,0.389362567253431,"temperature",2291,"Pygoscelis papua",317.5,0.186274509803873,168,"competition","spp2"
"118","HMK018",2004,-4.65,-0.478790356893574,"temperature",2309,"Pygoscelis papua",316,0.186274509803873,169,"competition","spp2"
"120","HMK018",2004,-4.65,-0.478790356893574,"temperature",2292,"Pygoscelis papua",316,0.186274509803873,168,"competition","spp2"
"123","HMK018",2005,-2.25,1.06459261936777,"temperature",2310,"Pygoscelis papua",313.5,0.186274509803873,169,"competition","spp2"
"125","HMK018",2005,-2.25,1.06459261936777,"temperature",2293,"Pygoscelis papua",313.5,0.186274509803873,168,"competition","spp2"
"128","HMK018",2006,-1.7,1.41828455142766,"temperature",2294,"Pygoscelis papua",308,0.186274509803873,168,"competition","spp2"
"129","HMK018",2006,-1.7,1.41828455142766,"temperature",2311,"Pygoscelis papua",308,0.186274509803873,169,"competition","spp2"
"133","HMK018",2007,-4.5,-0.38232892087724,"temperature",2312,"Pygoscelis papua",324,0.186274509803873,169,"competition","spp2"
"134","HMK018",2007,-4.5,-0.38232892087724,"temperature",2295,"Pygoscelis papua",324,0.186274509803873,168,"competition","spp2"
"1032","HMK019",1969,9.17997,0.691997840580577,"temperature",2323,"Daphnia3 spp.",160.305,-0.696012315376935,170,"herbivory","spp2"
"1033","HMK019",1969,9.17997,0.691997840580577,"temperature",475,"Daphnia3 spp.",160.305,-0.696012315376935,171,"predation","spp1"
"1035","HMK019",1970,7.0721775,-1.54403652787558,"temperature",2324,"Daphnia3 spp.",153.324,-0.696012315376935,170,"herbivory","spp2"
"1036","HMK019",1970,7.0721775,-1.54403652787558,"temperature",476,"Daphnia3 spp.",153.324,-0.696012315376935,171,"predation","spp1"
"1039","HMK019",1971,7.5041675,-1.08576348305292,"temperature",2325,"Daphnia3 spp.",124.8365,-0.696012315376935,170,"herbivory","spp2"
"1041","HMK019",1971,7.5041675,-1.08576348305292,"temperature",477,"Daphnia3 spp.",124.8365,-0.696012315376935,171,"predation","spp1"
"1043","HMK019",1972,8.8363475,0.32746873262767,"temperature",2326,"Daphnia3 spp.",140.054,-0.696012315376935,170,"herbivory","spp2"
"1044","HMK019",1972,8.8363475,0.32746873262767,"temperature",478,"Daphnia3 spp.",140.054,-0.696012315376935,171,"predation","spp1"
"1047","HMK019",1973,8.033365,-0.524368659937703,"temperature",2327,"Daphnia3 spp.",137.4605,-0.696012315376935,170,"herbivory","spp2"
"1048","HMK019",1973,8.033365,-0.524368659937703,"temperature",479,"Daphnia3 spp.",137.4605,-0.696012315376935,171,"predation","spp1"
"1052","HMK019",1974,8.1390875,-0.41221381380408,"temperature",480,"Daphnia3 spp.",134.959,-0.696012315376935,171,"predation","spp1"
"1054","HMK019",1974,8.1390875,-0.41221381380408,"temperature",2328,"Daphnia3 spp.",134.959,-0.696012315376935,170,"herbivory","spp2"
"1055","HMK019",1975,9.0562675,0.560769059064394,"temperature",481,"Daphnia3 spp.",131.047,-0.696012315376935,171,"predation","spp1"
"1058","HMK019",1975,9.0562675,0.560769059064394,"temperature",2329,"Daphnia3 spp.",131.047,-0.696012315376935,170,"herbivory","spp2"
"1060","HMK019",1976,8.8796125,0.373366052668071,"temperature",2330,"Daphnia3 spp.",142.5315,-0.696012315376935,170,"herbivory","spp2"
"1062","HMK019",1976,8.8796125,0.373366052668071,"temperature",482,"Daphnia3 spp.",142.5315,-0.696012315376935,171,"predation","spp1"
"1065","HMK019",1977,8.359595,-0.178290242815783,"temperature",483,"Daphnia3 spp.",134.2885,-0.696012315376935,171,"predation","spp1"
"1066","HMK019",1977,8.359595,-0.178290242815783,"temperature",2331,"Daphnia3 spp.",134.2885,-0.696012315376935,170,"herbivory","spp2"
"1067","HMK019",1978,7.85678,-0.711697407408732,"temperature",2332,"Daphnia3 spp.",147.44,-0.696012315376935,170,"herbivory","spp2"
"1069","HMK019",1978,7.85678,-0.711697407408732,"temperature",484,"Daphnia3 spp.",147.44,-0.696012315376935,171,"predation","spp1"
