studyid,genus,species,interaction,role,taxa,taxa2,taxatype
HMK008,Erythronium,grandiflorum,poll,negative,plant,perennial,spp
HMK008,Selasphorus,platycercus,poll,positive,vertebrate,bird,spp
HMK009,Hydrophyllum,macrophyllum,competition,negative,plant,herbaceous,spp
HMK009,Lonicera,maackii,competition,negative,plant,shrub,spp
HMK010,Chlorochytrium,spp.,mutualist,positive,plant,algae,genus
HMK010,Codiolum,spp.,mutualist,positive,plant,algae,genus
HMK010,Mastocarpus,papillatus,mutualist,positive,plant,algae,genus
HMK010,Mazzaella,splendens,mutualist,positive,plant,algae,genus
HMK011,Epirrita,autumnata,herbivory,negative,invertebrate,insect,spp
HMK011,Poecile,montanus,herbivory,positive,vertebrate,bird,spp
HMK012,Hamamelis,virginiana,herbivory,negative,plant,tree,spp
HMK012,Hormaphis,hamamelidis,herbivory,positive,invertebrate,insect,spp
HMK013,Cirsium,undulatum,herbivory,negative,plant,perennial,spp
HMK013,Rhinocyllus,conicus,herbivory,positive,invertebrate,insect,spp
HMK014,Anemone,truffolia,herbivory,negative,plant,perennial,spp
HMK014,Gentiana,formosa,herbivory,negative,plant,perennial,spp
HMK014,Melanchra,pisi,herbivory,positive,invertebrate,insect,spp
HMK015,Chilocorus,bipustulatus,predation,positive,invertebrate,insect,spp
HMK015,Rhyzobius,chrysomeloides,predation,positive,invertebrate,insect,spp
HMK015,Saissetia,oleae,predation,negative,invertebrate,insect,spp
HMK015,Scymnus,interruptus,predation,positive,invertebrate,insect,spp
HMK015,Scymnus,mediterraneus,predation,positive,invertebrate,insect,spp
HMK015,Scymnus,subvillosus,predation,positive,invertebrate,insect,spp
HMK016,Cerorhinca,monocerata,predation,positive,vertebrate,bird,spp
HMK016,Engraulis,japonicus,predation,negative,vertebrate,fish,spp
HMK017,Salix,polaris,herbivory,negative,plant,tree,spp
HMK017,Sitobion,calvulum,herbivory,positive,invertebrate,insect,spp
HMK018,Pygoscelis,adeliae,competition,negative,vertebrate,bird,spp
HMK018,Pygoscelis,antarcticus,competition,negative,vertebrate,bird,spp
HMK018,Pygoscelis,papua,competition,negative,vertebrate,bird,spp
HMK019,Daphnia3,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK019,Daphnia3,spp.,predation,negative,invertebrate,zooplankton,genus
HMK019,Perca,fluviatillis,predation,positive,vertebrate,fish,genus
HMK019,Phytoplankton1,spp.,herbivory,negative,plant,phytoplankton,genus
HMK020,Quercus1,robur,herbivory,negative,plant,tree,spp
HMK020,Thaumetopoea,processionea,herbivory,positive,invertebrate,insect,spp
HMK021,Dasineura,mali,parasitism,negative,invertebrate,insect,spp
HMK021,Platygaster,demades,parasitism,positive,invertebrate,insect,spp
HMK022,Prunus,spinosa,herbivory,negative,plant,shrub,spp
HMK022,Thecla,betulae,herbivory,positive,invertebrate,insect,spp
HMK023,Bombus,spp.,pollination,positive,invertebrate,insect,genus
HMK023,Corydalis,ambigua,pollination,positive,plant,herbaceous,genus
HMK026,Plant1,spp.,herbivory,negative,plant,,genus
HMK026,Rangifer1,tarandus,herbivory,positive,vertebrate,mammal,genus
HMK027,Caterpillar,spp.,herbivory,positive,invertebrate,insect,genus
HMK027,Caterpillar,spp.,herbivory,negative,invertebrate,insect,genus
HMK027,Ficedula1,albicollis,herbivory,positive,vertebrate,bird,genus
HMK027,Parus1,major,herbivory,positive,vertebrate,bird,genus
HMK027,Quercus2,robur,herbivory,negative,plant,tree,genus
HMK028,Operophtera,brumata,predation,negative,invertebrate,insect,spp
HMK028,Parus2,major,predation,positive,vertebrate,bird,spp
HMK029,Daphnia,pulicaria,herbivory,positive,invertebrate,zooplankton,genus
HMK029,Diatom1,spp.,herbivory,negative,plant,phytoplankton,genus
HMK029,Keratella1,cochlearis,herbivory,positive,invertebrate,zooplankton,genus
HMK030,Plant2,spp.,herbivory,negative,plant,,genus
HMK030,Rangifer2,tarandus,herbivory,positive,vertebrate,plant,genus
HMK031,Acanthocyclops,robustus,herbivory,positive,invertebrate,zooplankton,genus
HMK031,Daphnia1,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK031,Diatom2,spp.,herbivory,negative,plant,phytoplankton,genus
HMK031,Dreissena,polymorpha,herbivory,positive,invertebrate,zooplankton,genus
HMK031,Mesocyclops,leukarti,herbivory,positive,invertebrate,zooplankton,genus
HMK031,Thermocyclops,oithonoides,herbivory,positive,invertebrate,zooplankton,genus
HMK032,Asterionella,spp.,herbivory,negative,plant,phytoplankton,genus
HMK032,Daphnia,hyalina-galeata,herbivory,positive,invertebrate,zooplankton,genus
HMK033,Plant3,spp.,pollination,negative,plant,herbaceous,genus
HMK033,Syrphid,spp.,pollination,positive,invertebrate,insect,genus
HMK034,Cyclops,vicinus,herbivory,positive,invertebrate,zooplankton,genus
HMK034,Phytoplankton2,spp.,herbivory,negative,plant,phytoplankton,genus
HMK035,Acartia,hudsonica,predation,negative,invertebrate,arthropod,spp
HMK035,Mnemiopsis2,leidyi,predation,positive,invertebrate,ctenophore,spp
HMK036,Copepod1,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK036,Diatom3,spp.,herbivory,negative,plant,phytoplankton,genus
HMK037,Daphnia2,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK037,Diatom4,spp.,herbivory,negative,plant,phytoplankton,genus
HMK037,Keratella2,cochlearis,herbivory,positive,invertebrate,zooplankton,genus
HMK037,Leptodiaptomus,ashlandi,herbivory,positive,invertebrate,zooplankton,genus
HMK038,Ficedula2,albicollis,predation,negative,vertebrate,bird,spp
HMK038,Glis,glis,predation,positive,vertebrate,mammal,spp
HMK038,Parus,caeruleus,predation,negative,vertebrate,bird,spp
HMK038,Parus3,major,predation,negative,vertebrate,bird,spp
HMK038,Sitta,europaea,predation,negative,vertebrate,bird,spp
HMK039,Guillemots,spp.,competition,negative,vertebrate,bird,genus
HMK039,Rissa1,tridactyla,competition,negative,vertebrate,bird,genus
HMK041,Calanoid,copepod,herbivory,positive,invertebrate,zooplankton,genus
HMK041,Cladoceran,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK041,Cyclopoid,copepod,herbivory,positive,invertebrate,zooplankton,genus
HMK041,Nauplii,copepod,herbivory,positive,invertebrate,zooplankton,genus
HMK041,Phytoplankton,spp.,herbivory,negative,plant,pytoplankton,genus
HMK041,Rotifer,spp.,herbivory,positive,invertebrate,zooplankton,genus
HMK042,Acrocephalus,arundinaceus,competition,negative,vertebrate,bird,spp
HMK042,Acrocephalus,scirpaceus,competition,negative,vertebrate,bird,spp
HMK043,Beroe,gracilis,predation,positive,invertebrate,zooplankton,spp
HMK043,Copepod2,spp.,predation,negative,invertebrate,zooplankton,genus
HMK043,Pleurobrachia,pileus,predation,negative,invertebrate,zooplankton,spp
HMK043,Pleurobrachia,pileus,predation,positive,invertebrate,zooplankton,genus
HMK044,Choristoneura,fumiferana,herbivory,positive,invertebrate,insect,spp
HMK044,Picea,glauca,herbivory,negative,plant,tree,spp
HMK045,Belonocnema,treatae,herbivory,positive,invertebrate,insect,spp
HMK045,Quercus,fusiformis,herbivory,negative,plant,tree,spp
HMK046,Pseudacris,triseriata,competition,negative,vertebrate,amphibian,spp
HMK046,Rana,sphenocephala,competition,negative,vertebrate,amphibian,spp
HMK047,Alnus,rubra,herbivory,negative,plant,tree,spp
HMK047,Malacosoma ,californicum pluviale,herbivory,positive,invertebrate,insect,spp
HMK048,Accipiter,nisus,predation,positive,vertebrate,bird,spp
HMK048,Caterpillar2,spp.,herbivory,positive,invertebrate,insect,genus
HMK048,Caterpillar2,spp.,predation,negative,invertebrate,insect,genus
HMK048,Ficedula,hypoleuca,predation,negative,vertebrate,bird,spp
HMK048,Ficedula,hypoleuca,predation,positive,vertebrate,bird,genus
HMK048,Parus,ater,predation,negative,vertebrate,bird,spp
HMK048,Parus,ater,predation,positive,vertebrate,bird,genus
HMK048,Parus2,caeruleus,predation,negative,vertebrate,bird,spp
HMK048,Parus2,caeruleus,predation,positive,vertebrate,bird,genus
HMK048,Parus4,major,predation,negative,vertebrate,bird,spp
HMK048,Parus4,major,predation,positive,vertebrate,bird,genus
HMK048,Quercus3,robur,herbivory,negative,plant,tree,genus
HMK049,Caterpillar3,spp.,predation,negative,invertebrate,insect,genus
HMK049,Parus5,major,predation,positive,vertebrate,bird,genus
HMK050,Caterpillar,spp.,predation,negative,invertebrate,insect,genus
HMK050,Parus,major,predation,positive,vertebrate,bird,genus
JEH001,Cotesia,bignellii,parasitism,positive,invertebrate,insect,spp
JEH001,Euphydryas,aurinia,parasitism,negative,invertebrate,insect,spp
JMA002,Epipedobates,femoralis,competition,negative,vertebrate,amphibian,spp
JMA002,Osteocephalus,taurinus,competition,neutral,vertebrate,amphibian,spp
JMA002,Phyllomedusa,tomopterna,competition,negative,vertebrate,amphibian,spp
KJB001,Tetraneura,spp.,parasitism,positive,invertebrate,insect,genus
KJB001,Ulmus,davidiana,parasitism,negative,plant,tree,genus
KJB003,Curculio,elephas,predation,positive,invertebrate,insect,spp
KJB003,Quercus,ilex,predation,negative,plant,tree,spp
SET005,Alca,torda,predation,positive,vertebrate,bird,spp
SET005,Ammodytes,marinus,predation,negative,vertebrate,fish,spp
SET005,Fratercula,arctica,predation,positive,vertebrate,bird,spp
SET005,Phalacrocorax,aristotelis,predation,positive,vertebrate,bird,spp
SET005,Rissa2,tridactyla,predation,positive,vertebrate,bird,spp
SET005,Uria,aalge,predation,positive,vertebrate,bird,spp
SET006,Operophtera,brumata,herbivory,positive,invertebrate,insect,spp
SET006,Operophtera,brumata,predation,negative,invertebrate,insect,spp
SET006,Parus,major,predation,positive,vertebrate,bird,spp
SET006,Quercus,robur,herbivory,negative,plant,tree,spp
